stage,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,16,0,0,0,0,0,0,2,0,0,2,4,0,1,0,0
 24-34,0,0,0.82,6.57,0,0,0.82,0,0,0,0,0,0,0,0,0,8.21,0,0,2.46,35.3,0,0,1.64,0,0,4.1,0,0,0,0,9.03,0,0.82,0,0
 36-46,0,0,0.81,6.45,0,0,0,0,0,0,0,0.81,0,0.81,0,0,2.42,0.81,0,1.61,37.87,0,0.81,0.81,0,0,2.42,0,0.81,0.81,0.81,6.45,0,0.81,0,0
 48-58,0,0,1.15,8.03,0.57,0,2.3,0,0,0.57,0,0,0,0.57,0,0.57,3.44,0,0.57,1.15,27.54,0,0,0.57,0,0,1.15,0,0,0,0,9.75,0,0,0,0
 60-70,0,0,0,21.59,0,0.98,2.94,0.98,0,0,0.98,0,0,0,0,0,1.96,0,0,0,40.24,0,0,0,0,0,2.94,0,0,0,0,0.98,0,0.98,0,0
 72-82,0,0.98,0.98,21.6,0.98,0,4.91,0.98,0,0,0,0,0,0,0,0.98,14.72,0,1.96,0,41.23,0,0.98,0,0,0,0.98,0,0,0,0,1.96,0,1.96,0,0
 84-94,0,0,0,13.81,0,0,3.19,1.06,0,0,0,1.06,0,0,1.06,0,0,0,0,1.06,14.87,0,1.06,0,0,0,2.12,0,0,0,0,0,0,2.12,1.06,0
 96-106,0,1.09,0,6.56,0,0,2.19,0,0,0,1.09,0,1.09,1.09,0,0,6.56,0,0,0,7.65,0,0,0,0,0,2.19,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0.77,5.36,0,1.53,1.53,0,0,0,0.77,0.77,0.77,0,0,0.77,4.6,0,0.77,0.77,17.62,0,0,0,0,0,2.3,0,0.77,0,0,0.77,0.77,0.77,1.53,0.77
120,0,0,3.92,7.84,0,0,0,0,0,0,0,1.96,0,0,0,0,5.88,0,0,1.96,23.52,1.96,1.96,0,0,1.96,5.88,0,0,0,0,0,0,0,0,1.96
