stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,25.18,0,9.44,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,503.52,15.73,0,0,141.61,0,0,0,3.15,31.47,0,0,0,0,0,0,0,0
 14-21,0,0,22,188,27,1,0,0,0,36,6,0,0,0,0,2,2,0,187,0,0,118,940,38,0,0,15,0,2,1,76,23,2,69,387,0,0,8,0,0
 24-34,0,0,13.13,81.26,2.46,12.31,0,3.28,0.82,50.89,2.46,4.93,0,0,0,3.28,0.82,0.82,242.97,0,0,105.07,1653.2,6.57,0,1.64,0,0.82,9.03,0,0.82,7.39,0.82,9.85,521.24,0,0,27.91,0,0.82
 36-46,0,0,0.81,26.59,1.61,15.31,2.42,0.81,3.22,49.95,1.61,3.22,0,0,0.81,3.22,1.61,1.61,203.03,1.61,3.22,37.87,1847.4,3.22,0,0,0,0,4.03,0.81,0.81,4.83,2.42,0,437.48,0,1.61,11.28,0.81,0
 48-58,0,0,0,15.49,0,34.43,1.15,0.57,0,65.41,0.57,2.3,0.57,0,0.57,0,0.57,2.3,217.47,0,9.75,37.87,1228.52,1.72,0.57,0,0,2.87,2.3,0,0,1.72,1.72,0,333.38,0,0.57,5.16,0,1.72
 60-70,0,0.98,0,5.89,0,18.65,1.96,1.96,4.91,50.06,0.98,2.94,0.98,0,0,0,0,0,200.23,0,5.89,15.7,869.63,0,0.98,0,0,3.93,4.91,0,0,0,0.98,0,139.38,0,8.83,7.85,2.94,0
 72-82,0,0,0,12.76,1.96,28.47,0,0,0,73.62,0,4.91,0,0,0,3.93,0,0,291.55,0,6.87,21.6,619.43,0.98,0,0,0,3.93,0,0,0,3.93,2.94,0,77.55,0.98,18.65,16.69,9.82,0
 84-94,0,0,0,19.12,0,46.73,5.31,2.12,1.06,57.35,2.12,1.06,1.06,3.19,1.06,2.12,0,0,195.41,0,10.62,14.87,294.18,1.06,0,2.12,0,0,3.19,0,0,4.25,1.06,0,45.67,7.43,10.62,14.87,4.25,1.06
 96-106,0,0,0,19.67,3.28,22.95,4.37,2.19,0,44.81,4.37,0,1.09,0,1.09,1.09,0,1.09,166.11,0,8.74,17.49,208.73,4.37,0,1.09,0,3.28,1.09,0,0,7.65,0,0,19.67,8.74,14.21,17.49,15.3,0
108-118,0,0,0,8.43,0.77,16.09,4.6,2.3,0.77,38.3,0.77,0.77,0,0,1.53,2.3,0,0,147.83,0,5.36,10.72,217.53,2.3,0.77,0,0,1.53,1.53,0,0,3.06,0,0,9.96,3.83,8.43,12.26,5.36,0.77
120,0,0,0,29.4,0,13.72,3.92,1.96,0,37.24,1.96,0,0,3.92,0,1.96,0,0,123.47,0,9.8,15.68,203.82,9.8,0,0,0,1.96,0,0,0,1.96,0,0,5.88,1.96,7.84,9.8,7.84,0
