stage,epidermis,eye,glial,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,4.93,4.1,0,0
 36-46,0,0,0,0,0,0.81,0.81,0,24.98,2.42,0.81,0
 48-58,0,1.15,1.15,0,0,0.57,1.15,0,26.97,4.02,0,0.57
 60-70,0,1.96,0.98,0,0.98,0,0.98,0,60.85,10.8,0,0
 72-82,0.98,4.91,3.93,0,0,0,1.96,0,52.03,4.91,0,0
 84-94,1.06,4.25,0,1.06,0,0,0,0,30.8,11.68,0,0
 96-106,1.09,0,2.19,0,0,0,0,1.09,13.11,1.09,0,0
108-118,0.77,1.53,0.77,0,0,0,1.53,0,19.15,0,0,0
120,0,7.84,1.96,0,0,0,0,0,17.64,0,0,0
