stage,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,vasculature,xanthophores
 14-21,0,2,0,0,0,0,1,0,0,0,0,0,0,0,28,0,0,0,1,3,10,1,0
 24-34,0.82,0,0,5.75,0,0,3.28,0,0,0.82,0,0,0,0,156.78,0,0.82,1.64,0,0,36.94,0.82,0
 36-46,0,0,0,31.42,0.81,0,5.64,0,0,0,0,1.61,0,0,443.12,0,1.61,0,0.81,0,76.54,0,0.81
 48-58,0,0,0,92.38,0,0,14.92,0,0.57,0,0.57,2.87,0,1.15,437.81,0,0.57,0.57,0,0,83.78,1.15,0.57
 60-70,0,0.98,0,104.04,0,0,12.76,0,0,0,0,0.98,0,0,320.96,0.98,0.98,0,0.98,0,38.28,1.96,0
 72-82,0.98,0,0,87.37,0.98,0,8.83,0.98,0.98,0,0,6.87,0,0,254.25,0,1.96,0.98,0.98,0,10.8,7.85,0
 84-94,0,2.12,0,45.67,0,0,9.56,1.06,0,0,0,2.12,1.06,0,148.69,0,3.19,2.12,3.19,0,18.05,0,0
 96-106,0,1.09,0,33.88,0,0,13.11,0,0,0,0,3.28,1.09,0,90.71,0,3.28,0,6.56,0,1.09,2.19,0
108-118,0,2.3,0,21.45,0,0,5.36,0.77,0,0,0,1.53,0,0,76.6,0,1.53,0.77,0,1.53,2.3,2.3,0
120,0,5.88,1.96,29.4,0,1.96,1.96,1.96,0,0,0,0,0,0,78.39,1.96,0,0,0,0,0,3.92,1.96
