stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,12.59,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.93,0,0,0,15.73,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,400,0,0,5,0,4,0,6,1,1,0,0,3,0,0,0,2,1,0,1,78,0,0,0,0,45,1,3,0,2,35,0,0,0,0,0
 24-34,0,0,0.82,310.28,0,0,3.28,0,17.24,0,22.98,1.64,0,0.82,2.46,3.28,0,0,0,2.46,0,0,0,192.08,0,3.28,0,0,79.62,0,2.46,0.82,0,172.38,0,0,0,0,0
 36-46,0,0,0,144.21,0,0,4.03,0,15.31,0,28.2,0.81,0,0.81,3.22,0.81,0,0,0.81,3.22,2.42,0,0.81,129.71,0,3.22,0,0,35.45,0,4.03,0,0,190.94,0,0,0,0,0
 48-58,0,0,0,121.65,0,0,5.16,0,28.12,0,33.85,0,0,0,3.44,1.15,0,0.57,0.57,2.87,1.15,0,0,95.25,0,1.72,0,0,32.71,0,1.15,0,0,135.99,0,0,0,0,0
 60-70,0,0,0,121.71,0,0,16.69,0,30.43,0.98,105.02,2.94,0,0,5.89,0.98,0,0,0,2.94,1.96,0.98,0.98,47.11,0,1.96,0.98,0,55.95,0,0.98,0,0,38.28,0,0,0,0,0
 72-82,0,0.98,0,96.2,0,0,14.72,0.98,39.27,0,210.08,6.87,0,0,13.74,1.96,0,0,0.98,2.94,2.94,0.98,0,45.16,0,0,0,0,64.79,0,0.98,0,0,7.85,0,0.98,0.98,1.96,0.98
 84-94,0,5.31,0,266.57,1.06,2.12,14.87,0,59.47,0,129.57,13.81,1.06,0,16.99,6.37,0,0,3.19,3.19,1.06,1.06,1.06,20.18,0,1.06,0,0,163.55,0,3.19,0,0,10.62,1.06,1.06,1.06,1.06,0
 96-106,0,0,0,231.68,1.09,1.09,9.84,0,43.71,0,108.19,5.46,0,0,27.32,1.09,0,1.09,2.19,10.93,4.37,0,1.09,16.39,0,9.84,0,0,113.66,0,2.19,0,0,2.19,0,0,0,0,0
108-118,0,0.77,0,219.83,1.53,1.53,9.19,0,58.21,0,81.96,15.32,0,0,17.62,3.83,0.77,0.77,3.83,4.6,3.83,0,0,18.38,0.77,3.06,0,0,88.09,0,3.83,0,0,2.3,0.77,0.77,0,1.53,0
120,0,0,0,166.58,1.96,0,3.92,0,41.16,0,56.83,15.68,0,0,15.68,1.96,0,0,3.92,5.88,5.88,1.96,0,27.44,0,0,3.92,0,84.27,0,0,0,0,0,0,0,0,0,0
