stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.79,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,310,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,8,0,0,0,0,0,34,1,0,1,0,2,0,0,0,0,0
 24-34,0,0.82,559,0,0,4.93,0,10.67,0,0,0,0.82,0,13.95,1.64,0,0,8.21,6.57,0,4.93,45.97,0,0.82,0,0,0,143.65,0,0,0,1.64,4.1,0,0,2.46,0,0.82
 36-46,0,0,353.69,0,0,5.64,0,15.31,0,0.81,0,0,0,7.25,0,0,0,5.64,8.06,0,0.81,33.03,0,4.03,1.61,0,0,151.47,0,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,548.56,1.15,0,37.3,1.15,44.18,2.3,6.89,0,0,0.57,2.87,1.15,0.57,0.57,14.35,17.79,1.72,1.15,80.91,0.57,2.87,0.57,0,0,519.87,0,0,0,0,21.8,0,0,1.72,0,1.15
 60-70,0,0,522.17,0,0,33.37,0,34.35,0,3.93,0.98,0,0,9.82,0,0,0,12.76,10.8,0.98,0.98,50.06,0,2.94,0,0,0,369.05,0,0.98,0,0,13.74,0,0,0.98,0.98,0.98
 72-82,0,0,471.2,2.94,0,10.8,0,21.6,1.96,5.89,0,0.98,0.98,25.52,1.96,0,0,19.63,11.78,1.96,0,49.08,0,0.98,0.98,0,0,217.93,0,0,0,0,6.87,0.98,1.96,0.98,0,0.98
 84-94,0,0,812.46,0,0,12.74,0,43.54,1.06,1.06,2.12,1.06,2.12,28.68,1.06,0,0,7.43,22.3,1.06,1.06,18.05,0,2.12,1.06,0,1.06,551.2,0,0,0,0,1.06,2.12,0,1.06,0,1.06
 96-106,0,0,750.79,3.28,0,19.67,1.09,39.34,0,5.46,1.09,1.09,2.19,43.71,2.19,1.09,0,6.56,20.76,0,2.19,29.51,0,9.84,0,0,0,415.28,0,0,1.09,0,0,2.19,1.09,0,0,0
108-118,0,0,440.43,0.77,2.3,9.19,0.77,19.92,0,2.3,2.3,0,0,22.98,0,0,0,6.89,5.36,0,0,23.74,0,5.36,0.77,0,0,248.94,0,0,0,0,0,2.3,0,1.53,0.77,0.77
120,0,0,356.68,1.96,0,5.88,0,19.6,3.92,5.88,3.92,0,0,15.68,1.96,1.96,0,1.96,9.8,0,1.96,41.16,0,1.96,1.96,0,0,274.37,0,0,0,0,0,0,0,0,0,0
