stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,5,22,8,2,0,0,0,0,0,0,16,1,0,0,0,0,0,19,0,5,0,0,0,7,0,0,0,0,0,0,0,1,9,5,5,0,0,0,0,0
 24-34,0,0,12.31,45.15,4.93,1.64,0,0.82,0,0,0,0.82,35.3,0,0,0,0.82,0,0,57.46,0,1.64,0,0,0.82,34.48,0,0,0,0,0,0,0,0,59.1,1.64,8.21,0,0,1.64,0,0
 36-46,0,0,11.28,7.25,2.42,0,0,3.22,0,0.81,0,0.81,45.12,0,0,0.81,0,0,0,49.15,0,4.03,0,0,0.81,49.95,0,0,1.61,0,0,1.61,0,0,46.73,0,9.67,0,0,0,0,0
 48-58,0,0,10.33,1.72,1.72,0.57,0,10.9,0,0,0,3.44,60.25,0,0,0,0.57,0,0,49.92,0,8.03,0,0,0.57,28.69,0,0,0,0,0,1.15,0,0,33.85,0.57,7.46,0,0,0.57,0,0
 60-70,0.98,0,11.78,0,0.98,0,0.98,16.69,0,0,0,3.93,106.99,0,0,0.98,0.98,0,0,89.32,0,8.83,0,0.98,0,46.13,0,0,0,0,0.98,2.94,0,0,41.22,0,4.91,0,0,1.96,0,0
 72-82,0,0,55.95,1.96,4.91,3.93,18.65,71.66,0,1.96,1.96,9.82,279.77,0,0,1.96,1.96,0,3.93,190.44,0,39.27,0.98,1.96,2.94,167.86,0,1.96,1.96,0,0,2.94,0,0,71.66,0,8.83,2.94,2.94,1.96,1.96,0.98
 84-94,0,0,49.92,9.56,6.37,8.5,45.67,57.35,0,2.12,3.19,5.31,510.84,1.06,0,2.12,0,0,2.12,539.52,0,22.3,1.06,2.12,5.31,110.45,1.06,1.06,1.06,0,0,21.24,0,0,159.31,0,2.12,2.12,0,6.37,3.19,2.12
 96-106,0,0,57.92,17.49,38.25,22.95,85.24,135.51,0,4.37,2.19,27.32,674.29,0,3.28,14.21,2.19,3.28,4.37,799.96,0,78.68,2.19,8.74,5.46,326.76,2.19,5.46,7.65,1.09,2.19,49.18,1.09,0,158.46,0,13.11,3.28,3.28,18.58,8.74,2.19
108-118,0,0,40.6,20.68,38.3,13.02,163.15,185.36,4.6,12.26,7.66,38.3,728.43,0,3.83,12.26,8.43,5.36,0.77,1564.86,4.6,102.64,1.53,3.06,15.32,412.09,3.06,6.89,5.36,0,3.83,49.79,0,0,153.19,3.06,7.66,3.83,0,22.21,8.43,5.36
120,3.92,0,31.36,7.84,21.56,11.76,56.83,99.95,0,7.84,0,35.28,554.62,0,0,13.72,1.96,5.88,3.92,881.9,1.96,70.55,0,3.92,13.72,299.85,0,0,3.92,0,1.96,25.48,0,0,101.91,1.96,3.92,1.96,0,17.64,0,0
