stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,30.65,337.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,10.51,0,15.77,0,0,5.26,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,115.66,10.51,0,0,65.72,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,28.32,3.15,0,6.29,0,0,0,0,0
 14-21,0,0,0,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,21,0,0,0,1,2,5,0,6,10,0,1,0
 24-34,0,0,0.82,0.82,4.93,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,4.93,1.64,1.64,33.66,0,0.82,0.82,0,4.1,0,0.82,1.64,11.49,0,1.64,0.82
 36-46,0,0,0,0,2.42,0,4.03,0,1.61,0,0,0,0,0,0.81,0,0,0.81,0,7.25,0,0.81,24.17,0.81,0,3.22,0,5.64,0,0.81,0,8.86,0,0.81,0
 48-58,0,0,0,0,4.02,0,8.61,0,0.57,0.57,0.57,0,0,0,0,0,0,0.57,0,4.59,0.57,1.15,17.79,0,1.15,0,0,3.44,0,0,0,5.16,0,0,0.57
 60-70,0,0,0.98,0,4.91,0.98,10.8,0.98,0,0.98,0.98,0,0,0,0,0,0,0,0,1.96,0,0,10.8,0,0,0.98,0,3.93,0,0,0,0,0.98,0.98,0
 72-82,0,0,0,0,8.83,0,10.8,0,0,1.96,0.98,0,0.98,0,0.98,0.98,0,0,0,1.96,0,0.98,14.72,0,0,0.98,0,1.96,0,0,0,0,1.96,1.96,0
 84-94,0,0,0,0,4.25,0,2.12,1.06,0,0,2.12,0,0,0,1.06,0,2.12,0,1.06,5.31,0,0,4.25,0,2.12,0,0,4.25,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,0,9.84,0,3.28,0,0,1.09,0,0,0,1.09,1.09,0,2.19,0,1.09,2.19,0,0,5.46,0,1.09,0,0,8.74,0,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0.77,3.06,0,0,2.3,1.53,0,0,0.77,0.77,0.77,0,0,0,2.3,0,1.53,6.13,0,0.77,1.53,0,7.66,0,0,0,0,0.77,0,0
120,0,0,0,0,1.96,1.96,0,1.96,0,3.92,1.96,0,0,1.96,1.96,0,0,0,0,3.92,0,0,1.96,0,1.96,3.92,0,13.72,0,0,0,0,0,0,0
