stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,12.26,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,5.26,0,0,105.15,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,6.29,0,0,402.81,0,0,3.15,0,0,15.73,0,0,0,0,0
 14-21,1,0,6,18,8,2,0,0,0,1,3,0,1,0,0,0,0,80,0,0,302,17,72,1,0,10,0,2,260,2,26,772,10,0,0,0,0
 24-34,0,0,0,3.28,0,19.7,0.82,1.64,4.1,0,0,0,0,0,0,0,0.82,104.25,0,0,216.71,18.06,126.41,1.64,0,0,0,1.64,0,0,33.66,85.37,9.85,0,2.46,0,0
 36-46,0,0,0,4.83,0,38.67,7.25,2.42,8.06,1.61,0,0,0,0,0,0,0,123.27,0,0,148.24,21.75,96.68,0.81,0,0,0,1.61,0,0,29.81,1.61,6.45,0,0,0,0
 48-58,0,0,0,0,0.57,42.46,16.64,8.03,6.89,1.15,0,0,0,0,0,0,0,145.75,0,0.57,81.48,22.38,54.51,0,0,0,0.57,0,0,0,26.97,0,9.18,0,0,0,0.57
 60-70,0.98,0,0,4.91,0,71.65,14.72,10.8,1.96,1.96,0,0,0,0,0,0,0,144.28,0,0.98,37.3,18.65,24.54,0,0.98,0,2.94,0.98,0,0,37.3,0,1.96,1.96,0,0,0
 72-82,0,0,0,3.93,0,70.68,12.76,11.78,3.93,0.98,0,0,0,0,0.98,0,0,190.44,0,0.98,32.39,22.58,28.47,0.98,0.98,0,1.96,0,0,0,18.65,0,1.96,5.89,0,0,0
 84-94,1.06,0,0,3.19,1.06,111.51,23.36,23.36,2.12,3.19,2.12,2.12,1.06,1.06,1.06,0,0,127.44,0,2.12,26.55,21.24,22.3,0,1.06,0,0,2.12,0,0,32.92,0,1.06,4.25,0,2.12,0
 96-106,0,0,0,6.56,1.09,88.52,30.6,22.95,1.09,0,1.09,4.37,0,0,0,0,0,133.33,0,0,15.3,26.23,14.21,0,0,0,3.28,8.74,0,0,22.95,0,1.09,8.74,0,1.09,0
108-118,0,0,0.77,8.43,0,65.87,27.57,27.57,0.77,3.06,1.53,4.6,0.77,0,0,0.77,0,101.87,0.77,2.3,18.38,13.79,11.49,0.77,2.3,0,1.53,1.53,0,0,18.38,0,0.77,7.66,1.53,0.77,1.53
120,0,0,0,5.88,0,25.48,17.64,17.64,3.92,1.96,0,1.96,1.96,0,0,0,0,96.03,1.96,1.96,5.88,7.84,7.84,0,1.96,0,3.92,0,0,1.96,5.88,0,0,0,0,1.96,0
