stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,12.26,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,140.98,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,105.15,2.63,0,0,28.92,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,23,0,0,2,0,0,5,1,0,1,2,17,0,0,1,0
 24-34,0,0,1.64,0,3.28,0.82,0,3.28,0,0.82,0,0.82,0,0,0.82,0,0.82,0,0.82,0,0.82,1.64,0,0,0.82,139.55,0,0.82,4.1,0,0,8.21,0,2.46,0,0,32.01,0,0,1.64,0
 36-46,0,0,0,0,0,0,0,18.53,0,0.81,0,1.61,0,0,0.81,0,0,0,0,0,0,8.06,0.81,0,1.61,307.77,0,0.81,1.61,0,0,4.03,0,0.81,0,0,40.28,0,0,1.61,0.81
 48-58,0,0,0,0,1.15,0,0,34.43,0,0,0.57,4.59,0,0,0.57,0,0,0,2.3,0,1.15,8.61,0.57,0,1.15,197.96,0.57,1.15,3.44,0,0,8.03,0,0,0.57,0,33.28,0,0,1.15,0
 60-70,0,0,0.98,0,2.94,0.98,0,117.78,0.98,0.98,0.98,11.78,0.98,0.98,0.98,0.98,0.98,1.96,5.89,0,0.98,14.72,0,0.98,0.98,230.66,0,0.98,5.89,0,0.98,3.93,0,0.98,0,0,38.28,0.98,0,2.94,0.98
 72-82,0,0,0,0,0.98,0.98,0,133.51,0,0,0.98,3.93,0.98,0,0,0,0,0,8.83,0,0,10.8,0,0.98,0,112.89,0,1.96,11.78,0,0,1.96,0,0.98,0,0,5.89,5.89,0,0.98,0
 84-94,0,0,0,0,2.12,0,0,146.56,0,0,0,2.12,2.12,0,1.06,3.19,2.12,1.06,6.37,1.06,0,11.68,1.06,0,0,86.03,0,2.12,13.81,0,0,13.81,0,1.06,0,0,7.43,19.12,0,1.06,0
 96-106,0,0,0,0,5.46,2.19,1.09,132.23,0,0,1.09,4.37,1.09,0,0,2.19,3.28,0,13.11,2.19,0,6.56,0,0,0,38.25,1.09,2.19,15.3,0,0,13.11,0,0,0,0,0,38.25,1.09,4.37,0
108-118,0,0,0,0,3.83,1.53,0.77,114.13,0.77,0,0,5.36,2.3,0,0,1.53,0.77,3.83,4.6,0,1.53,7.66,0,0.77,1.53,69.7,0,1.53,9.96,0,0,11.49,0,2.3,0,0,2.3,50.55,0,1.53,1.53
120,0,0,0,0,9.8,1.96,1.96,113.67,0,1.96,0,3.92,1.96,0,0,0,0,0,11.76,0,0,7.84,0,0,0,74.47,0,3.92,3.92,0,0,3.92,0,0,0,0,1.96,15.68,0,0,0
