stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,49.04,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,7.89,0,0,47.32,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,189.27,26.29,0,0,68.35,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,6.29,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,78.67,0,0,0,31.47,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,8,2,4,0,0,0,1,1,0,1,0,0,0,0,0,0,6,0,0,3,39,2,0,3,2,0,12,0,3,12,20,0,0,0,0,0
 24-34,0,0,0.82,0.82,7.39,0.82,12.31,0,0,0.82,2.46,0,0,0.82,0,0.82,0,0.82,0,0,16.42,0,0,4.1,96.04,0.82,3.28,3.28,0,6.57,0,2.46,0.82,0.82,23.8,0,0,0.82,0,0
 36-46,0,0,0,0,3.22,0,20.95,0,0,0.81,3.22,0,0,0,0,0,0.81,1.61,0,0,12.09,0,0.81,0.81,66.06,0,1.61,0,0,7.25,0,0.81,0,0,18.53,0,0,2.42,0,0
 48-58,0,0,0,0,4.02,0.57,25.82,0,1.72,1.15,8.61,0,0,0,0,0,0.57,0.57,0,0,19.51,0,0,2.87,82.05,0.57,1.15,0.57,0,1.72,0,0,0,0,26.97,0,0,3.44,0,0.57
 60-70,0,0,0.98,0,5.89,0,50.06,0,0,1.96,21.59,0.98,0.98,0,0.98,0.98,0,0,0.98,0,32.39,0,0,2.94,115.82,1.96,0,3.93,0,0.98,0,0.98,0.98,0,15.7,0,0.98,7.85,0,0
 72-82,0,0,0.98,0,12.76,0.98,47.12,1.96,1.96,3.93,25.52,0.98,0,0.98,0.98,0,1.96,0,0,0,76.57,0,1.96,4.91,93.26,0.98,6.87,2.94,0,4.91,0,2.94,0.98,0,12.76,0,0.98,11.78,0,0.98
 84-94,0,0,1.06,0,14.87,3.19,32.92,1.06,4.25,0,16.99,3.19,0,0,1.06,1.06,0,2.12,1.06,1.06,27.61,0,1.06,4.25,49.92,1.06,2.12,8.5,0,4.25,0,3.19,0,0,14.87,1.06,2.12,10.62,1.06,1.06
 96-106,0,0,0,0,14.21,2.19,13.11,0,2.19,1.09,8.74,0,0,1.09,4.37,0,1.09,0,0,0,17.49,0,1.09,3.28,32.79,0,6.56,6.56,0,3.28,0,0,0,0,4.37,0,1.09,3.28,0,0
108-118,0,0,0,0,5.36,2.3,11.49,0,0.77,0,6.13,3.06,0,0.77,0,0,0,0.77,0,0,37.53,1.53,0,3.06,38.3,0.77,2.3,2.3,0,0,0,0.77,0,0,2.3,0.77,0,3.83,1.53,0.77
120,0,0,0,0,9.8,0,3.92,0,0,0,3.92,0,0,0,0,0,1.96,0,0,0,11.76,0,0,0,19.6,0,0,0,0,0,0,0,0,0,3.92,0,0,3.92,0,0
