stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,1844.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,870.41,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,6.13,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,13.14,15.77,0,0,0,57.83,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,428.48,15.77,0,0,134.06,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,3.15,0,0,0,25.18,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,308.4,15.73,0,0,141.61,0,3.15,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,1,38,4,0,11,0,0,0,6,0,0,0,0,1,0,0,0,0,23,0,22,233,10,1,3,3,17,0,21,0,1,13,46,0,0,0,0
 24-34,0,0,0,4.93,0.82,0,45.15,0,0,0.82,4.1,0,0,0,0,0.82,0,0,0.82,0.82,17.24,0,4.93,262.67,0.82,1.64,1.64,0,7.39,0,0,1.64,0,0.82,44.33,0,2.46,0,0
 36-46,0,0,0,0,2.42,0,97.49,0,1.61,0,4.03,0,0,0.81,0,0,0,0,0,0,12.09,0,1.61,160.33,0.81,0.81,1.61,0,2.42,0,0,0.81,0.81,0,40.28,0,0.81,0,0.81
 48-58,0,0,0,2.87,0.57,0,113.61,0,0.57,0,4.59,0,0,0,0,0,0.57,0.57,0,0,20.66,0,2.87,88.37,1.15,0,0,0,0.57,0,0,0,0,0,13.77,0,1.15,0,0
 60-70,0.98,0,0,2.94,0.98,0,93.24,0.98,0,0.98,5.89,0.98,0,0,0,0,0,0,0,0,19.63,0,0.98,67.73,0,0,1.96,0,0,0,0,0,0.98,0,7.85,0,0.98,0,0
 72-82,0,0,0,1.96,3.93,0,38.28,0,0,0,5.89,0,0.98,0.98,0.98,0.98,0,0,0,0,15.71,0,3.93,45.16,0,0,0.98,0,0.98,0,0,0,0,0,0.98,0,0.98,0,0
 84-94,0,0,0,3.19,7.43,0,30.8,0,0,0,7.43,2.12,0,0,1.06,0,0,0,1.06,1.06,12.74,1.06,1.06,16.99,1.06,0,0,0,1.06,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,3.28,9.84,0,36.06,0,0,0,7.65,0,0,0,3.28,0,0,0,0,0,8.74,0,1.09,24.04,0,1.09,2.19,0,1.09,0,0,0,0,0,2.19,0,0,1.09,0
108-118,0,0,0,3.06,5.36,0,18.38,0,0,0,4.6,0,0,0,1.53,0,0.77,0,0.77,0,9.19,0.77,1.53,24.51,0,0,1.53,0,0.77,0,0,0,0,0,0.77,0.77,0,0.77,0
120,0,0,0,0,9.8,1.96,43.12,0,0,0,5.88,1.96,0,0,0,0,0,0,0,0,1.96,0,3.92,43.12,0,0,3.92,0,1.96,0,0,0,0,0,1.96,1.96,0,0,0
