stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,23.66,0,0,0,28.92,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,236.58,13.14,0,0,107.78,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,25.18,0,22.03,0,3.15,0,78.67,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,387.08,31.47,0,0,147.91,0,3.15,0,0,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,45,7,0,10,0,1,0,7,0,0,1,0,0,0,1,0,0,16,0,0,14,85,4,0,0,4,0,1,0,18,1,1,21,38,0,0,5,0,0
 24-34,0,0,0,17.24,3.28,0,13.95,0,3.28,0,9.03,0,0,3.28,0,0,0,0,0,1.64,27.09,0,0,14.78,157.6,2.46,1.64,1.64,0,0,0,0,0,0.82,0.82,8.21,47.61,0,0,11.49,0,0
 36-46,0,0,0,7.25,0,0,25.78,0.81,0.81,1.61,7.25,0,0,1.61,0,0,0,2.42,0,8.86,33.84,0,0,9.67,178.86,4.03,0,2.42,0,0,0,0,0,0.81,0,0,51.56,0,0,8.06,0,3.22
 48-58,0,0,0,5.16,0,0,30.99,0.57,1.15,1.72,16.07,1.15,0,1.15,0,0,0,1.15,0,10.9,32.71,0,1.15,6.89,131.98,1.15,0.57,1.72,0,0.57,0,0,0,0,0.57,0,31.56,0,0,8.61,0,1.72
 60-70,0,0,0,4.91,0,0,59.87,0.98,1.96,3.93,27.48,0,0,1.96,2.94,0.98,0,1.96,0,2.94,62.82,0,0.98,4.91,167.84,0.98,0.98,1.96,0,0,0,0,0,1.96,0,0,22.58,0,0.98,6.87,0,1.96
 72-82,0,1.96,0,3.93,0.98,0,41.23,1.96,1.96,1.96,26.5,2.94,0,0.98,2.94,0,0,0.98,0,7.85,87.37,0,3.93,1.96,124.67,0,0.98,0,0,0.98,0,0,0,0,0,0,13.74,0,0,18.65,2.94,3.93
 84-94,0,0,0,18.05,0,0,38.23,0,3.19,0,13.81,0,0,1.06,4.25,3.19,2.12,3.19,0,13.81,72.22,0,5.31,4.25,64.78,1.06,0,0,0,0,0,0,0,1.06,1.06,0,14.87,0,4.25,21.24,4.25,6.37
 96-106,0,0,0,8.74,0,1.09,24.04,1.09,0,3.28,18.58,2.19,0,2.19,3.28,0,1.09,7.65,1.09,6.56,51.36,1.09,2.19,6.56,59.01,0,0,2.19,0,2.19,0,0,0,1.09,0,0,0,0,1.09,9.84,1.09,4.37
108-118,0,1.53,0,13.79,0,0,19.15,0.77,3.83,1.53,13.02,0,0,0,4.6,0,6.89,2.3,0.77,10.72,35.23,0,4.6,3.06,58.21,0.77,0,2.3,0,1.53,0,0,0,1.53,0.77,0,3.06,0.77,1.53,11.49,0,3.06
120,0,1.96,0,9.8,3.92,0,15.68,0,1.96,1.96,11.76,1.96,0,1.96,7.84,0,0,3.92,1.96,7.84,27.44,1.96,1.96,0,84.27,0,0,1.96,0,0,1.96,0,0,0,0,0,1.96,0,1.96,9.8,1.96,0
