stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,6.29,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,17,2,5,0,0,0,3,1,0,0,0,2,0,0,0,0,3,0,0,2,78,0,2,1,2,0,1,1,0,0,3,38,0,0,0,0,0
 24-34,0,0,4.1,0,9.85,0,0,0,9.85,0,0,0.82,0,0.82,0.82,0,0,0,2.46,0,0,0.82,322.6,0,12.31,0.82,0,0,1.64,0,0,0,0.82,77.16,0,0,2.46,0,0
 36-46,0,0,0.81,0,50.76,0,0,0,33.03,0.81,0,0.81,0,0.81,0,0,0,0,9.67,0,0,2.42,523.69,0,16.92,2.42,0,0,2.42,0,0.81,1.61,0,125.68,0,0,0.81,0,0
 48-58,0,0,2.87,0,187.06,0.57,0.57,0,76.89,0,0,0,0.57,1.15,2.87,0.57,0.57,0,10.9,0,0.57,1.72,434.37,0.57,8.03,1.15,0,0,1.15,0,0,0.57,0,100.99,0,0,0,0,0.57
 60-70,0,0,5.89,0.98,296.42,0,1.96,0,96.19,0.98,0,0,0,4.91,8.83,0,0,0,17.67,0,0,3.93,654.68,0,6.87,4.91,0,0.98,1.96,0,0,0.98,0,93.24,0,0,0,0,0.98
 72-82,0,0,19.63,0,196.33,0,0,1.96,131.54,0,0,0,1.96,8.83,11.78,0.98,0.98,0,46.14,0.98,0,2.94,633.17,0.98,7.85,5.89,0,0,5.89,0,0,0,0,48.1,1.96,0,1.96,1.96,1.96
 84-94,0,0,14.87,0,174.17,0,3.19,0,66.91,2.12,0,0,3.19,10.62,11.68,1.06,0,1.06,24.43,1.06,1.06,1.06,335.6,0,4.25,7.43,0,1.06,26.55,0,0,1.06,0,36.11,2.12,1.06,1.06,2.12,0
 96-106,0,0,28.41,0,95.08,0,3.28,0,67.76,2.19,0,0,17.49,14.21,4.37,6.56,0,0,19.67,0,1.09,1.09,272.12,0,3.28,12.02,0,0,30.6,0,0,0,0,8.74,2.19,0,1.09,0,1.09
108-118,0,0,22.98,1.53,70.47,0,3.06,0.77,70.47,4.6,0,0,32.94,13.79,6.13,1.53,0,0,27.57,0.77,0.77,2.3,304.85,0.77,7.66,4.6,0,0,16.85,0,0.77,0.77,0,10.72,2.3,0,2.3,0,0
120,0,0,7.84,0,68.59,0,5.88,0,74.47,3.92,0,0,60.75,11.76,3.92,3.92,0,0,9.8,0,1.96,1.96,309.65,0,0,1.96,0,0,17.64,0,0,0,0,11.76,0,0,0,0,1.96
