stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,4,0,0,0,0,1,6,1,1,0,0,0,0,16,0
 24-34,0,0,0.82,0.82,0,8.21,0,0,0,1.64,0.82,34.48,0,2.46,0.82,0,0.82,0,18.88,0
 36-46,0,0,0,1.61,0,3.22,0,0,0,0.81,0,49.95,0,1.61,0,0,0,0.81,14.5,0
 48-58,0,0,0.57,2.87,0,4.02,0,0,0,2.3,0.57,25.82,0,0.57,0,0,0,0,10.33,0
 60-70,0,0,0,1.96,0,1.96,0,0,0,2.94,0,29.45,0,0.98,0,0,0,0,4.91,0.98
 72-82,0,0,0,3.93,0,1.96,0,0,0,6.87,0,13.74,0.98,1.96,0,0,0,0,6.87,0
 84-94,0,0,1.06,4.25,0,1.06,1.06,0,1.06,2.12,0,12.74,0,2.12,0,0,0,0,2.12,0
 96-106,0,0,0,0,1.09,0,0,0,0,3.28,1.09,1.09,0,2.19,0,0,0,0,4.37,0
108-118,0,0.77,0.77,0.77,0,0,0.77,0.77,0,0.77,0.77,7.66,0,1.53,0.77,0,0.77,0.77,0,0
120,0,0,3.92,0,0,1.96,0,0,0,0,0,9.8,0,3.92,0,0,0,1.96,0,0
