stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
 24-34,0,0,0.82,4.1,0,0,0.82,0.82,0,0,1.64,0,0,0,0.82,0,3.28,0.82,0.82,0,12.31,0.82,0.82,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0,0.81,0,6.45,2.42,0,0,8.06,0,0,0.81,0,0
 48-58,0,0,0,1.15,0,0,0.57,0,0,0.57,1.15,0.57,0,0.57,2.3,0.57,4.59,0,0,0,6.31,0,0,0.57,0.57,0
 60-70,0,0,0,1.96,0,0,0.98,0,0,0,0,0.98,0,1.96,3.93,0,4.91,1.96,0,0,14.72,0,0,0,0,0
 72-82,0,0.98,0,2.94,0,0.98,0,0,1.96,0,1.96,0,0.98,0.98,2.94,0,2.94,0.98,0,0,7.85,0,0,0,0,0
 84-94,0,0,0,11.68,1.06,2.12,3.19,1.06,1.06,2.12,3.19,0,0,0,2.12,0,5.31,4.25,1.06,0,35.05,0,0,0,0,1.06
 96-106,0,1.09,0,10.93,0,2.19,1.09,0,3.28,1.09,1.09,0,0,2.19,5.46,0,4.37,2.19,0,0,32.79,0,0,0,1.09,0
108-118,0,0,0,13.79,0.77,0,4.6,0.77,3.06,4.6,5.36,0.77,1.53,1.53,2.3,0,1.53,2.3,1.53,0,17.62,0,0,0,0.77,2.3
120,0,0,0,17.64,0,0,1.96,0,1.96,7.84,0,0,0,0,3.92,0,3.92,3.92,0,0,56.83,0,0,0,1.96,0
