stage,blastomeres,epidermis,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,2,1,0,3,0,0,0
 24-34,0,0,0,1.64,0,0.82,0,0,0,0,0,0,0,0,3.28,0,0,1.64,19.7,1.64,0.82,0.82,0,0,0.82,0,0,0.82,4.1,0.82,0,0
 36-46,0,0,0,6.45,0,0,0.81,0,0,0,0,0,0,0,1.61,0,0,1.61,26.59,0,0.81,0,0,0,1.61,0,0,0,8.06,0,0,0
 48-58,0,0,0,10.9,0,0,0.57,0,0,0.57,0,0,0,0.57,4.02,0.57,0.57,0.57,19.51,0,0,0,0,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,9.82,0.98,0,1.96,0,0,0,0,0,0,0,5.89,0,0,0,29.45,0.98,0.98,0,0,0,0,0,0,0,2.94,0,0,1.96
 72-82,0,0.98,0,15.71,0,0,1.96,0.98,0,0,0,0,0,0,5.89,1.96,0,0,17.67,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,1.06,0,4.25,0,2.12,2.12,0,0,2.12,0,0,0,0,3.19,0,0,0,13.81,0,0,1.06,0,0,0,0,1.06,0,1.06,1.06,1.06,0
 96-106,0,1.09,0,4.37,0,0,2.19,2.19,0,1.09,0,1.09,1.09,0,3.28,0,0,0,4.37,0,1.09,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,3.06,0.77,6.13,0,0,3.06,0,0,0,0.77,0,0,0,0,0,0,0.77,8.43,0,1.53,0,0,0.77,0.77,0,0,0,0,0,0,0
120,0,0,0,5.88,0,0,0,1.96,0,1.96,0,0,0,0,5.88,0,1.96,1.96,7.84,0,1.96,0,0,0,0,0,0,0,0,0,0,0
