stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,3,0,0,0,5,0,0,1,0,0
 24-34,0,0,0.82,0.82,0,0,3.28,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,100.14,0,0.82,0,0,0,4.1,0,0,0.82,13.13,0,0,0,0,0
 36-46,0,0,0,2.42,0,0,4.83,0,0,0,20.95,0,0,0,0.81,0,0,0,0,4.03,0,0,0.81,213.5,0,0,0,0,0,3.22,0,0,0,33.84,0,0,1.61,0,0
 48-58,0,0.57,0,1.15,0,0,23.53,0,0.57,0,45.33,0,0.57,0.57,0,0,0,0,1.15,6.89,0.57,0,1.72,309.28,0.57,1.15,0.57,0,0,6.89,0,0.57,0,61.97,0,0,0.57,0,0
 60-70,0,0,0,1.96,0,0,78.52,0.98,0.98,0,75.58,0,0,0,0,0,0,0,0,11.78,1.96,0,0.98,669.4,0,0.98,2.94,0,0,3.93,0,0,0,107.97,0,0,0,0,0.98
 72-82,0,0,0.98,1.96,0,0,124.67,0,0,0,91.29,0.98,0.98,0.98,0,0,0,1.96,0,15.71,0.98,0,0,775.51,0,2.94,0.98,0,0.98,0,0.98,0,0,53.01,0,0.98,1.96,0,0
 84-94,0,0,0,6.37,1.06,0,84.96,0,0,0,48.85,2.12,1.06,0,0,0,1.06,7.43,0,14.87,2.12,2.12,0,385.52,0,0,0,0,0,5.31,0,0,0,36.11,1.06,1.06,1.06,1.06,0
 96-106,0,0,1.09,7.65,2.19,1.09,75.41,0,0,2.19,57.92,1.09,1.09,1.09,0,0,0,2.19,0,10.93,2.19,0,0,320.2,1.09,1.09,3.28,0,0,5.46,0,0,0,16.39,3.28,0,0,0,0
108-118,0,0,0.77,6.89,0,0,65.87,0.77,0.77,0,50.55,0,0.77,0.77,0,0,0.77,8.43,0,13.02,1.53,0,1.53,297.96,0,0,3.06,0,0,2.3,0,0,0,13.79,3.06,0,4.6,0.77,0.77
120,0,0,1.96,11.76,0,0,78.39,0,0,1.96,66.63,0,0,3.92,0,1.96,1.96,7.84,0,15.68,3.92,1.96,0,493.87,0,3.92,1.96,0,0,1.96,0,0,0,17.64,3.92,0,1.96,0,0
