stage,epidermis,eye,fin_mesenchyme,glial,gut,immune,mesenchyme,mural_cell,neural,olfactory,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,4.03,0,0.81,0
 48-58,0,1.72,0,0,0,0,0,0,2.3,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,2.94,0.98,0,0
 72-82,0,0,0,0.98,0,0,0.98,0,5.89,0.98,0,0
 84-94,1.06,0,1.06,0,1.06,1.06,0,0,3.19,0,0,1.06
 96-106,0,1.09,0,0,0,0,0,1.09,5.46,2.19,0,0
108-118,0,0.77,0,0,0.77,0,0.77,0,2.3,1.53,0,0
120,0,0,0,1.96,0,0,1.96,0,1.96,0,0,0
