stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,539.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,12.26,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,7.89,0,23.66,0,0,0,15.77,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,244.47,5.26,0,0,92,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,9.44,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.88,3.15,0,0,72.38,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,2,35,0,0,0,1,0,0,0,6,0,1,6,14,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,7.39,0,0,2.46,0,0,0,0,1.64,0,0,0,0,4.93,0,0,4.1,72.24,0,0,0,0,0,1.64,0,0,0,0.82,0.82,14.78,0,0,3.28,0,0
 36-46,0,0,0,0.81,0.81,0,0,25.78,0,0,7.25,0,0,0,0,0,0,0,0,0.81,10.47,0,0.81,3.22,70.9,0.81,0.81,0.81,0,0,3.22,0,0,0,0,0,17.72,0,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,0,25.25,0,0.57,4.59,0.57,0,0,0.57,0,0.57,0,0,0,14.92,0,0.57,2.3,40.74,0,0.57,1.15,0,0,0.57,0,0,0,0,0,9.75,0,0,2.3,0,1.15
 60-70,0,0,0,0,0,0.98,0,28.46,0,0,12.76,0,0,0,0,0,0.98,0,0,0,15.7,0,0,0,44.17,0,0,0,0,0,2.94,0,0,0,0,0,4.91,0,1.96,0.98,0,0
 72-82,0,0,0,0,1.96,0.98,0,24.54,0,1.96,8.83,0,0,0.98,0.98,0,0.98,0.98,0,0,27.49,0.98,0.98,7.85,41.23,0,0.98,0.98,0,0,2.94,0,0,0,0,0,6.87,0,0,0,0,0
 84-94,0,0,1.06,0,1.06,3.19,0,14.87,0,1.06,10.62,0,0,0,1.06,0,0,0,0,0,15.93,1.06,0,3.19,30.8,1.06,0,1.06,0,1.06,15.93,0,0,2.12,0,0,1.06,2.12,0,0,0,1.06
 96-106,0,0,0,0,2.19,1.09,0,14.21,1.09,0,4.37,0,0,1.09,1.09,1.09,0,0,0,0,22.95,0,1.09,2.19,24.04,0,0,0,0,1.09,39.34,0,0,0,0,0,2.19,2.19,0,1.09,0,0
108-118,0,0,0,0.77,6.13,1.53,1.53,10.72,2.3,0.77,8.43,0.77,0,0,0,1.53,3.83,0,0.77,0.77,9.19,0,0,2.3,26.81,0.77,0.77,0,0,0.77,41.36,0,0,0,0,0,0.77,0,0.77,1.53,1.53,0.77
120,0,0,0,0,1.96,3.92,0,5.88,1.96,0,1.96,0,0,0,1.96,0,1.96,1.96,0,0,5.88,0,0,1.96,19.6,0,0,0,0,0,27.44,0,0,0,1.96,0,1.96,1.96,0,1.96,0,0
