stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,5.26,0,0,2.63,0,0,0,49.95,0,0,15.77,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,31.47,3.15,0,6.29,0,3.15,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0.82,12.31,0,0,0,0,0,4.1,0
 36-46,0,0,0,0,0,1.61,0,0,0,1.61,0,0,5.64,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,6.89,0.57,0,0,0,0,0,15.49,0,0,0,0.57,0,4.02,0.57
 60-70,0,0,0,0,0,10.8,0,0,0,0.98,0,0,15.7,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,7.85,0.98,0,0,1.96,0,0,21.6,0,0,0,0,0,1.96,0
 84-94,0,0,0,0,0,6.37,2.12,0,0,1.06,1.06,1.06,5.31,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,1.09,1.09,0,1.09,0,0,0,0,4.37,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,3.06,0.77,0.77,0,0.77,0,0,7.66,0.77,0,0,0,0,0,0
120,0,0,0,1.96,1.96,1.96,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0
