stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,otic,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,2,0,0,0,0,0,0,0,0,0,2,0,17,0,0,0,0,1,0,5,10,0,0,0,0
 24-34,2.46,0.82,0,0.82,0,0,0,0,0.82,0,3.28,3.28,59.1,0,0.82,0,0,0,0,1.64,13.13,0,0,0.82,0
 36-46,0.81,0.81,0,0,0,4.03,0,0,0.81,0.81,4.03,2.42,66.06,0,0,0,0.81,0,0,0,16.11,0,0,0,0
 48-58,0.57,3.44,0,0,0,5.16,0,0,1.15,0,2.87,0.57,23.53,0,0,0.57,1.15,0,1.15,0,9.75,0,0,0,0
 60-70,0.98,7.85,0,0,0,6.87,0,0,0.98,0,5.89,1.96,8.83,0,0.98,0,2.94,0,0,0,1.96,0,0,0,0
 72-82,0,0.98,0,0,1.96,7.85,0,0,0,0,7.85,0.98,6.87,0,0.98,0,1.96,0,0,0,0,0,0,0,0
 84-94,2.12,2.12,0,0,0,5.31,0,0,0,0,5.31,3.19,5.31,1.06,0,0,2.12,0,0,0,5.31,0,0,0,0
 96-106,1.09,2.19,1.09,0,1.09,4.37,1.09,1.09,1.09,0,3.28,1.09,4.37,0,0,0,0,0,0,0,0,0,0,0,0
108-118,1.53,1.53,0,0,0,3.06,0,0,0,0,1.53,2.3,6.13,0,0,0.77,4.6,0,0,0,0,0.77,1.53,0,0.77
120,3.92,0,0,0,0,1.96,0,0,0,0,3.92,1.96,0,0,1.96,0,1.96,0,0,0,1.96,0,0,0,0
