stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,5.26,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,3.15,0,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0
 24-34,0,0,0.82,0,0,0,0.82,0,0.82,0,0,0,4.93,0,2.46,0.82,0,0,0,0,0,0,0,1.64,0,0,0,18.06,0,0
 36-46,0,0,0,0,0,0,1.61,4.03,0.81,0,0,0.81,0,0.81,0.81,2.42,0,0,0,0,0,0,0,0,0.81,0,0,16.11,0,0
 48-58,0,0,0,0,1.72,0,0.57,25.82,1.72,0,0,0,1.72,0,0,5.74,0,0,0,0,0,0,0.57,0,2.87,0,0,28.12,0.57,0
 60-70,0,0,0,0,4.91,0,0,95.21,0.98,0,1.96,0,10.8,0,0,6.87,0.98,0,0,1.96,0,0,0,0,5.89,0,0,21.59,1.96,0
 72-82,0,0.98,0,0,12.76,0,0,256.21,0.98,0.98,1.96,0.98,17.67,3.93,0.98,7.85,0,0.98,0,2.94,0.98,0,0,0,4.91,0,1.96,64.79,3.93,0
 84-94,0,0,1.06,1.06,14.87,0,2.12,187.98,2.12,0,4.25,0,20.18,0,1.06,7.43,0,1.06,0,4.25,0,0,0,0,3.19,0,0,63.72,2.12,1.06
 96-106,0,0,3.28,0,3.28,1.09,0,218.57,3.28,0,9.84,0,19.67,3.28,1.09,16.39,0,0,0,2.19,0,0,3.28,0,3.28,1.09,1.09,81.96,5.46,0
108-118,0,0,0,0,4.6,0,0,196.85,5.36,0,6.13,0,26.04,0.77,0.77,8.43,0,0,0,3.83,0,0,0.77,0,2.3,0,0.77,77.36,3.83,0
120,0,0,1.96,0,5.88,0,0,176.38,1.96,0,3.92,0,19.6,1.96,1.96,11.76,0,0,0,5.88,0,0,0,0,1.96,0,1.96,66.63,0,0
