stage,blastomeres,eye,fin.mesenchyme,glial,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0
 14-21,0,0,0,1,0,0,0,3,0,0,1,0,0,2
 24-34,0,0,0.82,0.82,0.82,0.82,0.82,8.21,0,0,0,0,0.82,2.46
 36-46,0,0.81,0,0,0,0,0.81,3.22,0,0,0,0,0.81,1.61
 48-58,0,4.59,0,0,0,0.57,0,2.87,0.57,0.57,0,0,0,2.3
 60-70,0,1.96,0,0,0,1.96,0,0.98,0,0,0,0,0,0.98
 72-82,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0.98,0
 84-94,0,0,1.06,1.06,0,1.06,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0,1.09
108-118,0,0.77,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
