stage,epidermis,eye,fin.epithelia,glial,heart,immune,ionocyte,liver,mesenchyme,mucous,neural,olfactory,periderm,spinal.cord,vasculature,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
 24-34,3.28,0.82,0,0,0,1.64,0,0,0,0,3.28,1.64,4.93,4.1,0,0
 36-46,0.81,2.42,0,0,0,0,0,0,0,0,3.22,0.81,8.06,4.83,0,0
 48-58,0,1.72,0,0,0,0,0,0,0,0,4.02,0.57,1.72,2.87,0.57,0.57
 60-70,1.96,2.94,0,0.98,0,0.98,0,0,2.94,0.98,14.72,5.89,0.98,5.89,0,0
 72-82,0.98,4.91,0,0.98,0,0.98,0,0,0.98,0,25.52,1.96,1.96,5.89,0,0
 84-94,4.25,7.43,0,1.06,0,1.06,0,0,0,0,16.99,2.12,1.06,1.06,0,0
 96-106,5.46,2.19,1.09,3.28,0,0,0,1.09,0,0,17.49,2.19,2.19,1.09,0,0
108-118,2.3,3.83,0.77,1.53,0.77,2.3,0.77,0,0.77,0,26.81,1.53,0.77,2.3,0,0
120,3.92,3.92,0,9.8,0,3.92,0,1.96,0,0,27.44,3.92,0,0,0,0
