stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,6.29,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,6,0,0,1,0,0,2,2,6,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,9.85,0.82,0,0,0,0,0,0,0.82,0.82,0,2.46,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0,0.81,34.64,0.81,0,0,0,0,0.81,0,0,1.61,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0.57,0,0,0.57,0,0.57,0,0,37.87,0,0.57,0,0,0,0,0,0,2.3,0,0.57,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,1.96,0,0,0,0,0,0,0,0.98,0,0,51.04,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,11.78,0.98,0,0,1.96,0,0,0,0,0.98,0,0.98,4.91,0,0.98,72.64,0,0,0,0,0,0,0,0,2.94,0,0.98,0
 84-94,0,0,1.06,0,0,1.06,2.12,0,0,0,1.06,0,0,0,1.06,0,0,0,7.43,0,0,55.23,0,0,1.06,0,0,0,0,0,2.12,0,2.12,0
 96-106,0,0,0,0,1.09,3.28,8.74,2.19,0,0,7.65,2.19,0,2.19,1.09,1.09,1.09,0,9.84,0,2.19,53.55,0,0,2.19,0,1.09,0,0,0,2.19,1.09,0,0
108-118,0,0,0,0.77,0.77,1.53,15.32,1.53,0.77,0,4.6,0,0,0.77,0.77,0,0,0,3.83,0.77,0,79.66,0,0,1.53,0,0.77,0.77,0,0,0.77,0,0.77,0.77
120,0,0,0,0,0,0,15.68,1.96,0,0,5.88,0,0,0,0,0,0,0,3.92,0,0,72.51,0,1.96,1.96,0,0,0,0,0,0,0,0,0
