stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,9.44,0,0,0,15.73,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0
 24-34,0,0,2.46,3.28,0,0,0,0,0,0,0,0,0,0,1.64,0.82,0,6.57,0,0,3.28,22.16,0,0,0,0,0,0,0,0,0.82,0,12.31,0,0,0,0,0
 36-46,0,0,2.42,4.03,0,3.22,0,0,0,0.81,0,0,0,0,2.42,0,0,14.5,0,0,17.72,26.59,0,0,0,0,0,0.81,0.81,0,0,0,10.47,0,0,0,0,0
 48-58,0,0,1.15,0.57,0,4.59,0,0,0.57,1.72,0,0,0,0,1.15,0.57,0.57,20.66,0.57,0,48.2,29.26,0,0.57,1.15,0.57,0,0.57,0,0,0,0,7.46,0,0,0,0,0.57
 60-70,0,0,0.98,0,0,3.93,7.85,0,0,3.93,0,0,0,0,0,0,0,21.59,0,0,32.39,50.06,0,0.98,0,0,0,0.98,0,0,0,0,7.85,0,5.89,0,4.91,0
 72-82,0,0,7.85,2.94,0.98,12.76,1.96,0.98,0,15.71,0,0,0.98,0.98,0.98,0,60.86,53.99,0.98,3.93,59.88,50.06,0,1.96,0,0,0,0,0.98,0,0,0,10.8,0.98,11.78,0,9.82,0.98
 84-94,0,2.12,16.99,1.06,1.06,21.24,3.19,1.06,0,11.68,1.06,1.06,0,1.06,0,1.06,294.18,40.36,4.25,2.12,38.23,38.23,0,0,0,0,0,2.12,0,0,0,0,6.37,0,8.5,0,8.5,1.06
 96-106,0,1.09,27.32,2.19,4.37,13.11,5.46,2.19,1.09,10.93,1.09,0,0,3.28,6.56,0,345.34,39.34,5.46,2.19,38.25,75.41,0,0,1.09,0,1.09,1.09,2.19,0,1.09,0,5.46,2.19,18.58,2.19,28.41,0
108-118,0,0,11.49,0.77,3.83,13.79,5.36,0.77,1.53,8.43,0,0,0,0.77,3.06,0.77,674.81,50.55,1.53,3.06,26.81,72,0,1.53,2.3,0,0,2.3,0,0.77,0,0,4.6,2.3,21.45,0,13.79,0
120,0,0,15.68,1.96,0,13.72,1.96,1.96,0,1.96,0,0,0,5.88,3.92,0,186.18,43.12,1.96,1.96,19.6,37.24,0,0,1.96,0,0,0,0,0,0,0,0,1.96,9.8,0,31.36,1.96
