stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,7,4,1,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,28,0,0,47,11,5,0,0,0,0,0,0,3,2,0,13,92,0,0,2,0
 24-34,0,4.93,0.82,4.93,2.46,0,1.64,0,0,4.1,1.64,0,0,0,0.82,0,0,0,0,109.17,0,0,84.55,62.39,0,0,0,0.82,0,0,0,0.82,4.93,0.82,0,59.1,0,0,21.34,0
 36-46,0,0.81,0,0.81,0,0,3.22,0,1.61,39.48,0.81,0,0,0,0,0,0,0,0.81,182.89,0,0,53.98,57.2,0,0,0.81,0,0,0.81,0,0,4.83,0,0,59.62,0,0,6.45,0
 48-58,0,0,0,0.57,0.57,0,5.74,0,4.59,92.96,1.72,0,3.44,0,0,0.57,0,0,0,348.3,0,0.57,51.64,47.63,0,0,5.16,0,0,0,0,0,0.57,0,0,21.23,0,0.57,5.74,1.15
 60-70,0,0,0,1.96,0,0,9.82,0,3.93,112.88,3.93,0,0.98,0,0,0,0,0.98,0,450.52,0,0.98,21.59,37.3,0,0,5.89,0,0.98,0,0,0,1.96,0,0,2.94,0,9.82,5.89,1.96
 72-82,0,0,0,7.85,0.98,0,26.5,0,7.85,214,10.8,1.96,0.98,0.98,0.98,0,0,0.98,0,682.25,0,9.82,35.34,53.99,0,0,3.93,0,0.98,1.96,0,0,2.94,0,0,2.94,0,23.56,19.63,16.69
 84-94,0,1.06,0,3.19,2.12,3.19,62.66,0,3.19,147.62,12.74,1.06,2.12,0,2.12,1.06,2.12,0,0,514.03,1.06,12.74,23.36,36.11,0,1.06,2.12,0,0,3.19,0,0,5.31,0,0,2.12,0,27.61,22.3,10.62
 96-106,1.09,0,0,17.49,3.28,4.37,55.74,1.09,3.28,153,10.93,4.37,3.28,3.28,1.09,2.19,0,2.19,0,568.28,1.09,6.56,15.3,71.04,1.09,2.19,4.37,0,4.37,1.09,0,0,8.74,0,0,2.19,1.09,24.04,28.41,21.86
108-118,0,0,0,2.3,0,0,15.32,0,6.13,118.72,6.13,0,1.53,1.53,0.77,0.77,0.77,0.77,0,494.05,0,6.13,15.32,34.47,0,0.77,4.6,0,0.77,1.53,0,0,5.36,0,0,1.53,2.3,34.47,26.81,13.79
120,0,0,0,7.84,0,0,11.76,0,5.88,139.14,9.8,1.96,3.92,0,0,0,0,0,0,370.4,0,1.96,17.64,43.12,0,0,5.88,0,1.96,3.92,1.96,0,0,0,0,0,0,21.56,29.4,11.76
