stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,5.26,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,110.41,2.63,0,0,28.92,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,81.82,3.15,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,2,1,1,0,0,0,0,0,0,0,0,4,0,2,16,2,0,1,0,0,4,0,2,4,0
 24-34,0,0,0,1.64,0.82,1.64,0,0,0,0.82,0,0,0,0,3.28,0,0,31.19,0.82,0,0,0,0.82,0,0.82,0,6.57,0
 36-46,0,0,0,0,0,11.28,0,0.81,0,2.42,0,0,0,0,0,0,0,22.56,0,0,0.81,0,0,0,0,0,8.86,1.61
 48-58,0,0,0,2.3,0,3.44,0,0.57,0,1.15,0,0,0,0,4.59,0,0,11.48,0,0,0.57,0,1.15,0,0,0,2.87,0.57
 60-70,0,0,0,0,0,10.8,0,0,0.98,1.96,0,0,0,0,3.93,0,0,7.85,0,0,0,0,0,0,0,0,0.98,1.96
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,5.89,0,0,16.69,0,0.98,0.98,0,0.98,0,0,0,0.98,0
 84-94,0,0,0,1.06,1.06,1.06,0,0,0,0,0,0,0,0,4.25,0,0,6.37,0,1.06,0,0,3.19,0,0,0,1.06,0
 96-106,0,0,0,1.09,0,0,1.09,0,0,2.19,1.09,0,0,0,5.46,1.09,1.09,6.56,1.09,1.09,1.09,0,0,0,0,0,0,1.09
108-118,0,0,0,2.3,0,3.83,0,0,0,1.53,0,0,0.77,0.77,2.3,0.77,0.77,3.06,0,0,0.77,0,0.77,0,0,0,0,0
120,0,0,0,3.92,1.96,3.92,0,0,1.96,0,1.96,0,0,0,1.96,0,1.96,7.84,0,1.96,0,0,0,0,0,0,0,1.96
