stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,heart,immune,mesenchyme,mucous,neural,notochord,periderm,pgc,somites,spinal.cord,vasculature
  3-4,237.2,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0
 14-21,0,1,1,0,0,0,0,1,0,0,8,0,1,0,3,0,0
 24-34,0,0.82,0.82,0,0,0,0,3.28,0,0,5.75,0,0,0,0,3.28,0
 36-46,0,0,0.81,0,1.61,0,0,2.42,0,0,9.67,0.81,2.42,0,0,2.42,0
 48-58,0,0.57,0,0.57,1.15,0,0,5.74,0.57,0,4.59,0,0,0,0,2.3,0
 60-70,0,0.98,0.98,0.98,0.98,0,0.98,5.89,0,0.98,1.96,0,1.96,0,0,0,0
 72-82,0,0.98,0.98,0,0.98,0,0,31.41,0.98,0,3.93,0,0,0,0,0,0.98
 84-94,0,0,2.12,0,0,0,0,40.36,1.06,0,2.12,0,0,0,0,0,1.06
 96-106,0,0,0,0,1.09,0,1.09,40.44,2.19,0,2.19,0,0,0,0,0,0
108-118,0,0.77,1.53,0,0.77,0.77,0,29.87,0.77,0,1.53,0,0.77,0,0,0,0.77
120,0,0,0,0,0,0,0,37.24,0,0,0,1.96,0,0,0,0,1.96
