stage,blastomeres,endoderm,eye,fin.epithelia,glial,iridophores,melanocytes,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,spinal.cord
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,4,0,0,1
 24-34,0,0.82,0,0,0,3.28,0,0,0,4.1,0,0,0
 36-46,0,0,1.61,0,0.81,10.47,0,0,0,6.45,0,0,0.81
 48-58,0,0,1.15,0.57,0,16.07,0,0.57,0,2.3,0,0.57,1.15
 60-70,0,0,7.85,0,0,52.02,0,0,0,3.93,0,0,0.98
 72-82,0,0,0.98,0,0,48.1,0,0.98,0,2.94,0,0.98,0
 84-94,0,0,1.06,0,1.06,54.16,0,0,0,4.25,0,0,0
 96-106,0,0,2.19,0,0,67.76,0,0,1.09,3.28,0,1.09,0
108-118,0,0,0,0,0.77,85.79,0.77,0,0,1.53,0,0,0
120,0,0,0,0,0,52.91,0,0,0,1.96,0,0,0
