stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,60.46,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,34.62,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0,0,125.88,3.15,0,0,40.91,0,6.29,0,6.29,0,0,0,0,0,0,0
 14-21,1,0,0,59,467,2,3,1,0,1,2,1,0,3,0,1,62,2,0,23,72,0,1,1,3,10,0,5,1,2,4,22,0,0,0,0
 24-34,0,0,0,4.93,220.81,0,9.85,1.64,0,0,0,0,0,0.82,6.57,1.64,31.19,0.82,0,13.13,55.82,3.28,1.64,0.82,0,17.24,0,0,0.82,0,2.46,12.31,0,0,1.64,0.82
 36-46,0,0,0,0.81,44.31,0.81,0.81,0.81,0,1.61,0,0,0,0.81,0.81,3.22,21.75,0.81,1.61,2.42,45.92,2.42,0,2.42,0,4.03,0,0,2.42,0,0,3.22,0,0,0,0.81
 48-58,0,0,0,0,1.15,0,5.16,0,0,3.44,0,0,0.57,1.15,0.57,0,5.74,0,0,1.72,28.69,0.57,0,1.15,0,0.57,0,0,0,0,0,5.74,0,0,0,0
 60-70,0,0,0.98,0,3.93,0,9.82,0,0.98,0.98,0,0,0,0,0,0.98,5.89,0,0,0,22.58,0,0,1.96,0,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,8.83,0,5.89,0,0,1.96,0.98,0,0,0,0,0,4.91,0,0,0,14.72,0,0,1.96,0,0,0,0,0,0,0,1.96,1.96,0,0,0
 84-94,0,0,0,0,1.06,0,4.25,0,1.06,3.19,2.12,1.06,0,1.06,1.06,0,2.12,1.06,0,0,9.56,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,2.19,0,4.37,0,0,0,1.09,0,0,0,2.19,0,7.65,0,1.09,0,14.21,0,0,2.19,0,0,1.09,0,0,0,0,1.09,2.19,0,0,0
108-118,0,0,0,0,0,0,3.06,0,0,0,0,0,0,0,0,0.77,1.53,0,0,0,12.26,0,0,3.06,0,0,0,0,0,0,0,0,0,0.77,0.77,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,1.96,0,0,1.96,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
