stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,31.54,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,33,0,0,1,0,0,0,0,0,0,0,0,168,0,0,0,1,0,0,7,3,13,0
 24-34,0,0,0.82,1.64,0.82,0,155.96,1.64,0,1.64,0,0,0,0,0.82,0.82,0,0.82,140.37,0.82,0.82,0.82,0,0,0,0,1.64,19.7,0.82
 36-46,0,0,0,0.81,0,0,105.54,0,0,2.42,0,0,0,0,0,0.81,0,0,68.48,0,0,0.81,0,0,0,0,0,17.72,0
 48-58,0,0,0,0,0.57,0,72.3,0,0,3.44,0,0,0,0,0,1.72,0,0,40.17,0,0,1.15,0,0,0,0,0,5.74,0
 60-70,0,0,0,0,0,0,72.63,0,0,0,0,0,0,0,0,2.94,0.98,0,35.33,0,0.98,0.98,0,0.98,2.94,0,0,2.94,0.98
 72-82,0,0,0,0.98,0.98,0,62.83,0,0,0.98,0,0.98,0,0,0,3.93,0,0,54.97,0,0,0,0,0.98,0.98,0,0,1.96,0
 84-94,0,0,0,0,0,0,72.22,0,1.06,2.12,0,1.06,0,0,0,2.12,0,0,33.99,0,0,0,0,1.06,1.06,0,0,2.12,0
 96-106,0,0,0,1.09,0,1.09,69.94,0,0,1.09,0,2.19,1.09,1.09,0,2.19,1.09,0,27.32,0,0,0,0,1.09,0,0,0,0,2.19
108-118,0,0,0,0.77,0,0,58.98,0,0,0.77,0,3.06,0,0,0,2.3,0.77,1.53,32.94,0,0.77,0,0,2.3,1.53,0,0,0,0.77
120,0,0,0,0,0,0,50.95,0,0,1.96,0,0,0,0,0,1.96,0,0,35.28,0,0,0,0,0,1.96,0,0,0,0
