stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,0,0,198,0,1,0,0,0
 24-34,0,3.28,0,0,0.82,0,0,0,4.1,0,0,1.64,0,1.64,0,0,1.64,0,0,13.95,0,1.64,0,175.66,0.82,0,1.64,0,0.82
 36-46,0,1.61,0,0,2.42,0,0,0,3.22,0,0,0.81,0,2.42,0,0,0.81,0,0.81,9.67,0.81,9.67,0.81,79.76,3.22,0,0.81,0,0
 48-58,0,21.23,0,0,1.72,0,0,0.57,1.15,2.87,0,0,0,6.89,0,2.87,0.57,0,1.15,10.33,0,2.87,0,68.28,1.15,0,2.87,0,0
 60-70,0,33.37,0,0,8.83,0.98,0,1.96,1.96,1.96,0,0,0.98,11.78,0,2.94,0.98,0,0,12.76,0,5.89,0,57.91,0.98,0,1.96,0,0
 72-82,0,41.23,0.98,0,1.96,0,0,0.98,4.91,2.94,0,3.93,0,33.38,1.96,3.93,2.94,0,0,12.76,0,7.85,0.98,33.38,0.98,0,0.98,0,0.98
 84-94,0,71.16,1.06,1.06,6.37,0,1.06,0,14.87,3.19,1.06,6.37,0,66.91,0,3.19,0,0,0,1.06,0,28.68,1.06,50.98,10.62,0,0,1.06,0
 96-106,0,46.99,0,2.19,5.46,1.09,0,4.37,38.25,2.19,0,13.11,0,86.33,1.09,2.19,2.19,0,1.09,14.21,0,42.62,0,31.69,7.65,0,1.09,2.19,0
108-118,0,22.21,1.53,0,1.53,0.77,0.77,0.77,45.96,0,0,8.43,0,58.98,1.53,7.66,0.77,0.77,0,9.19,0,23.74,0.77,47.49,6.89,0,0,0,0
120,0,9.8,0,0,3.92,0,0,1.96,27.44,0,0,5.88,0,27.44,1.96,1.96,0,0,0,7.84,1.96,13.72,0,13.72,3.92,0,0,0,0
