stage,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,3,6,1,0,0
 24-34,0,0.82,0,4.1,0,0,0,0,0,0,0,2.46,0,0,1.64,32.01,0.82,1.64,0,0,0,0,8.21,1.64,0,0
 36-46,0,0.81,0,4.83,0.81,2.42,0,0,0,0,0,2.42,0,0,1.61,22.56,0,0,0,0.81,2.42,0,8.06,4.03,0,0
 48-58,0,1.15,0,5.74,0.57,1.15,0,0,0,0,0,2.87,0.57,0,1.72,37.3,0,0,0.57,0,0,0,14.92,1.15,0,0
 60-70,0,2.94,0,34.35,0.98,3.93,0.98,0,0.98,0.98,0,5.89,0,0,0,25.52,0,0,0.98,0.98,0.98,0,2.94,0,0,0
 72-82,0,0,0.98,114.85,0,2.94,0.98,0,0,0,0,8.83,0,0,0.98,44.17,0,0,0,0,0,0,3.93,0,0,0.98
 84-94,0,1.06,0,93.46,0,0,0,0,2.12,0,0,6.37,0,0,0,25.49,0,0,0,2.12,0,0,2.12,1.06,0,0
 96-106,0,1.09,1.09,104.91,0,6.56,0,0,0,0,0,14.21,1.09,1.09,0,20.76,0,0,2.19,3.28,0,0,0,0,0,0
108-118,0,2.3,0,68.17,0,1.53,0,1.53,0.77,0,0.77,6.89,0,0.77,2.3,14.55,0,0,0.77,0.77,0.77,0,1.53,0,0,0
120,0,3.92,0,113.67,0,0,0,1.96,0,0,0,5.88,0,0,0,27.44,0,0,0,0,0,0,0,0,1.96,0
