stage,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,8,1,0,0,0,1,1,0,5,0,3,20,1,0,1,0,1,0,5,6,0,0,0
 24-34,0,0.82,0.82,2.46,0,0,0,0,1.64,0,6.57,0,4.93,17.24,0,0,0,0,0,0,0.82,1.64,0,0,0
 36-46,0,0,0,3.22,0,0.81,0,1.61,4.03,0,13.7,0,0.81,16.11,0,0.81,0,0,0,0,0,3.22,0,0,0
 48-58,0,0,0,2.3,0,0.57,0,0.57,0,0,9.75,0.57,0.57,6.89,0,0,0,0,0,0,0,1.72,0,1.15,0
 60-70,0,0,0.98,2.94,0.98,2.94,0,0,7.85,0,25.52,0,1.96,24.54,0,0,0,0.98,0,0,0,1.96,2.94,2.94,0
 72-82,0,0,0,6.87,0.98,7.85,0,3.93,0.98,1.96,53.99,0,1.96,10.8,0,0,0,0.98,0,0,0,0.98,0.98,9.82,2.94
 84-94,0,0,1.06,3.19,1.06,1.06,0,1.06,1.06,4.25,30.8,0,3.19,13.81,0,0,0,0,0,0,0,0,4.25,5.31,0
 96-106,1.09,0,0,3.28,0,2.19,1.09,1.09,0,1.09,38.25,0,1.09,16.39,0,0,0,2.19,0,1.09,0,2.19,4.37,9.84,4.37
108-118,0,0,0.77,2.3,0,2.3,0,0.77,5.36,2.3,45.19,0.77,0.77,15.32,0,0,0,2.3,0,0,0,0.77,3.83,6.89,0.77
120,0,0,0,9.8,0,5.88,0,3.92,1.96,0,29.4,1.96,1.96,9.8,0,0,0,0,0,0,0,0,3.92,5.88,1.96
