stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,7,0,0,0
 24-34,0,2.46,0.82,0.82,0,0.82,0.82,0,0,0,0,1.64,0,8.21,4.93,0,0,0,6.57,13.13,0.82,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,12.09,0.81,9.67,1.61,0,0,0,0,7.25,0,0,0
 48-58,0,0,0,1.15,0,0,0.57,0,0,0,0,35.58,0,11.48,8.03,0,0,0,0,8.61,0.57,0,0
 60-70,0,0.98,0,3.93,0,0,0.98,0.98,0.98,0,0,79.5,0,8.83,4.91,0,0,0,0,4.91,0,0,0
 72-82,0,0.98,0,4.91,0,0,1.96,1.96,0,0,0,124.67,0.98,18.65,8.83,0,0,1.96,0,3.93,0,0,1.96
 84-94,0,1.06,0,10.62,1.06,0,0,1.06,2.12,1.06,1.06,89.21,0,11.68,7.43,0,0,0,0,5.31,0,3.19,1.06
 96-106,0,0,1.09,7.65,0,0,0,1.09,0,0,0,76.5,2.19,2.19,6.56,0,0,0,0,4.37,0,0,1.09
108-118,0,1.53,0,0,0,0,0,0.77,0.77,0,0.77,54.38,0,3.06,4.6,0,0,0,0,3.83,0,1.53,4.6
120,0,0,0,3.92,0,0,0,0,0,0,0,39.2,0,7.84,1.96,0,0,0,0,1.96,0,0,1.96
