stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,6.29,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,3,26,138,0,0,0,0,1,1,13,2,200,0,0,0,0,0
 24-34,0,0,0.82,2.46,1.64,0,0,3.28,0,0,0,0.82,0,0,0.82,0.82,0,0,0,1.64,4.93,0,0,0.82,228.2,103.43,4.1,0,0,0,1.64,0,4.1,2.46,176.48,0,0,0.82,0,1.64
 36-46,0,0,0,0,0.81,0.81,0,13.7,0,0,0.81,1.61,0,0,0,0,0,0,0,0.81,8.86,0.81,0,2.42,463.26,66.87,2.42,1.61,0,0,0.81,0,0,0,117.63,0,0,2.42,0,1.61
 48-58,0.57,0,0,1.15,4.59,0,0,78.04,0,0,0.57,12.62,0.57,0,0,0,0,0,0,0,15.49,0,0,1.72,494.62,25.25,0,1.15,0,0,2.3,0,0.57,0,134.84,0,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,0,185.51,0.98,0.98,0.98,4.91,0.98,0,0,0,0,0,0,0.98,22.58,0,0,0,400.46,17.67,0,0.98,0,0,0.98,0,0,0,94.23,0,0,0.98,0,0.98
 72-82,0,0,0.98,0,0.98,1.96,0,147.25,0,0,0,16.69,0.98,0,0,0,0,0,0,0,24.54,0,0,0.98,240.51,13.74,0.98,0.98,0,0,3.93,0,0,0,91.29,0,0.98,0.98,0.98,0.98
 84-94,0,0,0,0,4.25,1.06,0,67.97,0,1.06,1.06,26.55,8.5,0,0,0,0,1.06,0,2.12,27.61,0,1.06,1.06,135.94,14.87,0,0,0,1.06,3.19,0,0,0,71.16,0,0,0,0,0
 96-106,0,0,0,0,8.74,2.19,0,54.64,0,2.19,0,24.04,5.46,1.09,1.09,1.09,0,0,2.19,0,7.65,1.09,0,1.09,114.75,15.3,1.09,2.19,0,0,1.09,0,0,0,98.36,0,0,0,1.09,0
108-118,0,0,0.77,0,5.36,0.77,0.77,36.77,0,1.53,0.77,26.81,7.66,0,0,0,0.77,0.77,0,0,27.57,0,0,0,102.64,5.36,0.77,2.3,0,0.77,2.3,0,0,0,44.43,1.53,0.77,0.77,0,0
120,0,0,0,0,1.96,0,0,33.32,0,1.96,1.96,21.56,0,0,0,0,0,0,0,0,11.76,0,0,3.92,119.55,7.84,0,7.84,0,0,1.96,0,0,0,64.67,0,0,1.96,0,0
