stage,epidermis,erythrocytes,exocrine.pancreas,eye,glial,mesenchyme,muscle,neural,notochord,periderm,slow.muscle,spinal.cord,vasculature
  5-6,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,2,0,0,0,0,0
 36-46,0,0.81,0,0.81,0.81,0,0,0,0,0,0,0.81,0.81
 48-58,0,0,0,0,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,0.98,0.98,0,0,0,0,0,0,0.98,0
 72-82,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,1.06,0,1.06,0,0,0,1.06,0,0,0
 96-106,1.09,0,4.37,0,0,0,0,1.09,0,0,0,0,1.09
108-118,0,0,12.26,0,0.77,0,0,3.06,0,0,0,0,0
120,0,0,9.8,0,0,0,0,1.96,0,0,0,0,0
