stage,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,lateral.line,melanocytes,mesenchyme,mucous,neural,olfactory,otic,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,8.21,0,0.82,2.46,0,2.46,0,0,1.64
 36-46,0,0,0,0.81,0,0,1.61,0,0,0,0,0,13.7,0,0,0.81,0.81,2.42,0,0,0.81
 48-58,0,1.72,0,0.57,0,0,0.57,0,0,0,0,0,21.23,0.57,0,0.57,0,1.15,0,0,0.57
 60-70,0,10.8,0.98,0,0.98,0,0,0,0,0,0,0,32.39,0,0.98,4.91,0,2.94,0,0,0
 72-82,0,7.85,0,0,0,0,0.98,0,0.98,0,0.98,0,26.5,0,0,1.96,0,5.89,0,0,0
 84-94,0,9.56,0,0,1.06,1.06,0,4.25,0,0,0,0,21.24,0,0,1.06,0,0,0,0,0
 96-106,0,13.11,0,1.09,0,0,0,3.28,2.19,0,0,0,8.74,0,1.09,1.09,0,2.19,0,0,0
108-118,0,9.19,0,0,0.77,0,0,0,0,0,0,0,7.66,0,1.53,0.77,0,2.3,1.53,0,0.77
120,1.96,7.84,1.96,0,1.96,0,0,0,1.96,1.96,0,0,7.84,1.96,0,1.96,0,0,1.96,1.96,0
