stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,21.03,0,0,0,7.89,0,0,0,0,0,0
 10-12,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,22.03,6.29,0,0,15.73,0,0,0,0,0,0
 14-21,0,0,4,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,4,1,2
 24-34,0,0,0,0,0,0.82,0,0.82,0,0.82,0,4.93,0,2.46,12.31,0,0.82,0.82,0,0,0.82,0.82,0,2.46,3.28
 36-46,0,0,0,2.42,0,0,0,0,0,0.81,0.81,4.83,0.81,1.61,7.25,0,0,0,0,0,0,0,0,0,1.61
 48-58,0,0.57,0,1.72,0,1.15,0,0,0,0,0,3.44,0,2.87,4.59,0,0,0,0,0,0.57,0,0,0,1.72
 60-70,0,0,0,0,0.98,0.98,0,0,0,0,0.98,6.87,0,0,1.96,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0.98,0.98,0,0,0,0,11.78,0,0.98,2.94,0,0,0,0,0.98,0,0,0,0,1.96
 84-94,0,0,0,0,0,0,2.12,0,0,0,1.06,4.25,0,0,1.06,0,0,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,1.09,1.09,0,1.09,1.09,0,0,0,1.09,12.02,0,0,1.09,0,0,0,0,0,1.09,0,0,0,1.09
108-118,0,0,0,2.3,0,0.77,0.77,0,1.53,0,0,7.66,0,0,3.06,0,0,0,0,0,3.06,0,0,0,1.53
120,0,0,0,1.96,0,0,0,0,0,0,0,9.8,0,0,1.96,0,0,0,0,0,3.92,0,0,1.96,0
