stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,26.36,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,12.26,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,5.26,0,0,18.4,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,0,0,0.82,0.82,0,0,0
 36-46,0,0,0.81,0,1.61,0,0,0,0,0,0,0,0,0,1.61,0,6.45,0,0,0,0,0,0.81,0,3.22,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,0,0.57,0,0,0.57,0,4.02,0,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0.98,0,2.94,0,0,0,0,0.98,0,0,0,0,0,0.98
 72-82,0,0,0,0,3.93,0,0,0.98,2.94,0,0.98,0,0,0,4.91,0,1.96,0,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,3.19,0,0,0,0,0,0,0,0,0,2.12,0,3.19,0,0,0,0,1.06,0,0,0,1.06,0,0
 96-106,0,0,1.09,1.09,1.09,0,0,1.09,0,0,0,0,1.09,0,1.09,0,3.28,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,1.53,0,1.53,0.77,0.77,0,0,0.77,0,0,0,0,1.53,0,5.36,0,0.77,0.77,0,0.77,0,0,0,0,1.53,0
120,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,1.96,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0
