stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0
  7-9,0,0,60.46,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,105.15,5.26,0,0,65.72,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.58,6.29,0,0,44.06,6.29,0,6.29,0,0,0,0
 14-21,0,0,0,257,0,0,0,0,1,0,0,2,0,12,8,1,3,13,1,0,1,0,8,1,0,0,3,5,0
 24-34,0,0,0.82,105.07,0,1.64,0,0,0,0,1.64,0,0.82,19.7,9.03,0.82,2.46,16.42,0.82,0,0,0,30.37,0,0,0,0,4.93,0
 36-46,0,0,0,31.42,0,1.61,0.81,0,0,0,0,0,0.81,1.61,3.22,0.81,1.61,9.67,0,0,0,0,16.11,0,0,0,0,2.42,0
 48-58,0,0,0,5.74,0,1.15,0.57,1.15,0,0,0,0,0,2.3,1.72,0,0,6.89,0,0,0,0,5.74,0,0,0,0,2.87,0
 60-70,0,0,0,10.8,0,0.98,0,3.93,0,0,0,0,0.98,0.98,3.93,0,0,3.93,0,0,0,0,3.93,0,0,0,0,2.94,0
 72-82,0,0,0,2.94,0,0,0.98,0.98,0.98,0,0,0,0.98,1.96,0,0,0.98,0.98,0,0.98,0,0,0.98,0,0,0,0,4.91,0.98
 84-94,0,0,0,5.31,0,0,2.12,1.06,1.06,1.06,0,0,0,0,6.37,0,0,2.12,0,1.06,0,0,4.25,0,0,0,0,4.25,0
 96-106,0,0,0,6.56,0,0,0,5.46,0,0,1.09,1.09,0,0,5.46,0,0,4.37,0,0,0,0,4.37,0,0,0,0,1.09,0
108-118,0,0,0,5.36,0.77,1.53,2.3,3.06,1.53,0,0,0.77,0.77,0,3.06,0,0,1.53,0,0,0,0,0.77,0,0,0.77,0,0.77,2.3
120,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
