stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,0,0,25,6,0,3,0,0,0,0,0,0,1,0,0,0,0,2,0,34,0,34,39,343,0,0,0,0,9,0,4,26,36,0,0,5,0,0
 24-34,0,0,0,0,29.55,0.82,0,15.6,0,0,4.93,0.82,0,0,6.57,0,1.64,0,3.28,0,0,156.78,0.82,106.71,84.55,267.6,3.28,1.64,0.82,3.28,0.82,1.64,4.93,13.95,53.36,0,0,23.8,0,0.82
 36-46,0,0,0,0,6.45,0.81,0,9.67,3.22,0.81,11.28,1.61,0,0,5.64,0.81,0,0,1.61,0.81,0,261.84,1.61,87.82,52.37,210.28,0,0.81,0,0,0.81,0,4.83,0.81,23.36,0,0,28.2,0,3.22
 48-58,0,0,0,0,1.72,0.57,0,13.77,2.87,2.3,17.79,5.74,0.57,0,3.44,0,0,0.57,1.15,0.57,2.3,366.66,5.16,60.82,39.59,134.84,2.3,11.48,0.57,1.72,0,0,4.02,0,17.21,0,1.15,31.56,0,3.44
 60-70,0.98,0,0,0,5.89,0,0,29.45,0.98,0.98,18.65,8.83,0,0,1.96,0.98,0,3.93,0,0.98,0,606.58,6.87,53.98,32.39,68.71,0.98,17.67,0,0,0,0,3.93,0,5.89,0,6.87,27.48,3.93,5.89
 72-82,0,0,0,0,5.89,0,0,34.36,0.98,1.96,33.38,13.74,0.98,0.98,3.93,2.94,0,1.96,0,0,0,930.62,9.82,62.83,42.21,52.03,2.94,13.74,1.96,0.98,0,0,0.98,0,3.93,0,12.76,76.57,16.69,5.89
 84-94,0,0,0,0,6.37,0,0,69.03,0,0,18.05,5.31,1.06,0,2.12,8.5,0,6.37,1.06,0,2.12,729.62,11.68,33.99,31.86,87.09,0,16.99,1.06,1.06,0,0,0,0,0,1.06,9.56,59.47,4.25,4.25
 96-106,1.09,0,0,0,3.28,1.09,0,46.99,0,1.09,18.58,15.3,0,0,5.46,3.28,3.28,4.37,2.19,0,0,540.96,10.93,27.32,26.23,65.57,4.37,21.86,0,1.09,0,1.09,2.19,0,1.09,1.09,6.56,101.63,14.21,2.19
108-118,0,0,0.77,0.77,3.06,2.3,2.3,46.72,0.77,0.77,16.09,8.43,0,0,1.53,6.13,0.77,9.96,0.77,0,0.77,414.39,6.89,29.11,35.23,54.38,1.53,19.15,3.06,1.53,0,1.53,0.77,0,1.53,0,5.36,69.7,9.96,2.3
120,0,0,1.96,0,3.92,1.96,0,25.48,0,1.96,15.68,1.96,3.92,0,3.92,5.88,0,3.92,0,0,0,252.81,3.92,29.4,13.72,48.99,1.96,3.92,1.96,0,0,0,0,0,0,0,1.96,58.79,11.76,0
