stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,15,6,0,5,0,0,0,3,1,0,0,0,0,0,0,1,11,0,0,9,99,2,1,3,1,0,1,0,15,1,1,16,48,0,0,1,0,6
 24-34,0,0.82,12.31,0,0,21.34,0,3.28,1.64,8.21,2.46,2.46,0,0.82,0,0.82,0.82,4.1,42.68,0,0,18.06,335.73,4.93,4.1,2.46,0,0,9.03,0,0,3.28,0,5.75,87.83,0,0,9.85,0,13.95
 36-46,0,0,2.42,0,0,50.76,0,0,3.22,20.14,0.81,0,0,0,0,2.42,0,4.03,42.7,0,0,6.45,463.26,1.61,5.64,2.42,0,0,8.86,0.81,0,1.61,0,0,94.26,0,0,3.22,0,11.28
 48-58,0.57,0,5.16,0,0,84.92,0.57,0,1.72,41.31,0,2.3,0,1.15,1.15,0.57,0,2.3,59.68,1.15,1.72,7.46,453.88,2.87,2.3,2.3,0,0,5.16,0,0,0,1.15,0,84.92,0,0,2.87,0,12.62
 60-70,0,0,6.87,0,0,154.1,0,4.91,3.93,43.19,0,1.96,0.98,0,0.98,1.96,0,0.98,75.58,0,1.96,3.93,470.15,0,3.93,3.93,0,0,5.89,0,0,1.96,0.98,0,42.21,0,1.96,4.91,0,7.85
 72-82,0.98,0.98,3.93,6.87,0,161.97,0.98,0,3.93,48.1,1.96,0.98,1.96,0,0,2.94,0.98,0.98,80.5,0.98,2.94,6.87,331.8,0.98,5.89,4.91,0,0,4.91,0,0,0,0,0,28.47,0.98,2.94,13.74,2.94,5.89
 84-94,1.06,0,18.05,4.25,0,93.46,1.06,3.19,2.12,36.11,5.31,1.06,3.19,4.25,1.06,3.19,0,0,55.23,0,3.19,4.25,165.68,2.12,0,6.37,0,0,20.18,0,0,0,2.12,0,13.81,3.19,7.43,3.19,4.25,7.43
 96-106,1.09,0,19.67,14.21,0,69.94,0,4.37,4.37,22.95,4.37,2.19,3.28,0,1.09,1.09,1.09,0,52.46,1.09,3.28,2.19,120.21,0,3.28,7.65,0,3.28,8.74,1.09,0,1.09,0,0,3.28,1.09,1.09,2.19,1.09,5.46
108-118,0.77,0,7.66,3.06,0.77,52.09,0,3.83,0,18.38,3.06,0,1.53,0.77,5.36,3.06,1.53,2.3,42.13,0.77,0,1.53,111.06,1.53,2.3,5.36,0,0,10.72,0,0,0.77,0,0,2.3,0,0,3.06,0.77,10.72
120,0,0,9.8,3.92,1.96,52.91,1.96,3.92,1.96,33.32,3.92,0,1.96,1.96,3.92,1.96,0,0,39.2,0,1.96,5.88,156.78,1.96,1.96,3.92,0,0,11.76,0,0,0,0,0,7.84,0,1.96,7.84,0,0
