stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,6,0,0,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,12,2,0,0,1,0,0,1,1,0,15,0,0,1,0,0
 24-34,0,0,0,17.24,0.82,0,0.82,0,0.82,0,1.64,0,0.82,0,0,0,0.82,5.75,0,0,1.64,46.79,0.82,0,0.82,0,0,4.1,0,0,0,29.55,0,0,0,0,3.28
 36-46,0,0,0,9.67,0,4.83,1.61,0.81,4.03,0,0.81,0,0,0,0,0,2.42,9.67,0.81,0,4.03,145.83,1.61,0.81,0,0,0,3.22,0,0,0,50.76,0,0,0,0,4.83
 48-58,0,0,0,5.74,0,8.61,2.87,0,5.16,0,0,0,0.57,0.57,0,0,1.72,13.2,1.72,0,0.57,144.6,0.57,0.57,0,0,0,6.31,0,0,0,33.85,0,0.57,0.57,0,9.75
 60-70,0,0,0,17.67,0,18.65,3.93,0.98,3.93,0,0,3.93,0,3.93,0,0,0,20.61,0,0.98,0.98,243.42,2.94,0.98,0.98,0,0,3.93,0,0,0,32.39,0,0,0,0,13.74
 72-82,0,0,0,17.67,0,13.74,10.8,0,7.85,0,0,2.94,2.94,0,0,0,0,13.74,0,0,0,170.81,0.98,1.96,0,0,0,2.94,0,0,0,4.91,0.98,0,1.96,0.98,17.67
 84-94,0,1.06,0,45.67,0,13.81,9.56,0,8.5,0,0,12.74,0,1.06,1.06,0,1.06,12.74,3.19,0,2.12,83.9,0,0,3.19,0,1.06,16.99,0,3.19,0,9.56,1.06,0,3.19,1.06,12.74
 96-106,0,0,0,32.79,0,5.46,8.74,0,7.65,0,3.28,9.84,2.19,0,0,1.09,0,12.02,7.65,0,1.09,51.36,1.09,2.19,1.09,0,0,4.37,0,0,0,2.19,1.09,0,2.19,0,19.67
108-118,0,0.77,0,37.53,0,5.36,9.19,0,2.3,2.3,0.77,9.19,0.77,4.6,0,0.77,0.77,3.83,1.53,0,0.77,60.51,1.53,2.3,0.77,0,0.77,4.6,0,0,0.77,3.06,1.53,1.53,0.77,0.77,24.51
120,0,0,0,35.28,0,1.96,9.8,0,3.92,0,1.96,1.96,1.96,7.84,0,0,0,5.88,1.96,0,0,64.67,3.92,0,0,0,0,13.72,0,0,0,3.92,0,0,0,0,27.44
