stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,3,0,0,0,3,0,0,0,2,0,0,12,0,0,0,0,0,1,0,0,0,57,0,0,0,0,0
 24-34,0,0.82,0.82,0.82,7.39,0,0,0.82,2.46,0,0,0,6.57,0,0,0,5.75,0,0,31.19,0.82,0,0,0,0,0,0.82,0,0.82,53.36,0,0,0,0,0
 36-46,0,0,0,0,12.89,0,0,0,0.81,0,2.42,0,2.42,0,0,0,4.83,0.81,0,23.36,0,0,0,0,0,0,0,0.81,0,43.51,0,0,0,0,0
 48-58,0,0,0,0,8.61,1.15,0,0.57,5.16,0,0,0,2.3,0,0,0,11.48,0,2.87,23.53,0,0.57,0,0,0.57,0,0.57,0.57,0,24.67,0,0.57,1.72,1.15,0
 60-70,0,0,0,0,9.82,0.98,0,0,42.21,0,0,0,0,0,0,0,11.78,12.76,1.96,19.63,0,0.98,0,0,0,0,0.98,1.96,0,12.76,0,10.8,0,21.59,0.98
 72-82,0,0,2.94,0,19.63,6.87,0.98,0.98,80.5,0,0,0.98,0.98,0,0,0,55.95,17.67,5.89,32.39,0,1.96,0.98,1.96,0.98,0,1.96,0,0,6.87,0,19.63,7.85,63.81,0
 84-94,0,0,2.12,1.06,30.8,6.37,0,1.06,62.66,0,0,0,1.06,6.37,0,0,29.74,26.55,7.43,24.43,0,0,0,1.06,3.19,0,3.19,2.12,0,3.19,1.06,25.49,1.06,74.34,1.06
 96-106,0,0,3.28,1.09,27.32,8.74,3.28,1.09,79.78,1.09,0,1.09,2.19,7.65,1.09,0,52.46,14.21,7.65,27.32,0,2.19,0,7.65,2.19,0,1.09,2.19,0,0,4.37,30.6,1.09,101.63,0
108-118,0,0,6.13,0,19.15,9.96,1.53,1.53,77.36,0,0,0.77,0.77,6.13,0,0.77,35.23,8.43,3.06,28.34,0,2.3,0,4.6,3.06,0,6.13,1.53,0,2.3,6.13,17.62,3.06,61.28,2.3
120,0,0,1.96,0,15.68,5.88,1.96,1.96,72.51,1.96,0,1.96,1.96,3.92,0,0,31.36,3.92,0,41.16,0,0,0,3.92,7.84,0,0,0,0,0,1.96,19.6,3.92,90.15,0
