stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,28.92,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,2,3,0,5,0,0,6,0,1,0,0,0,5,0,6,79,1,0,1,1,0,2,2,6,19,0,0,0,0,0
 24-34,0,0,0,0,8.21,0,0,1.64,0,0,0,0,0,4.1,0,1.64,60.74,0,0.82,0,0,0,0,0.82,0,8.21,0,0,1.64,0,0.82
 36-46,0,0,0,0,13.7,0,0.81,1.61,0,0,0,0.81,0.81,5.64,0,0,58.01,0,0.81,0.81,0,0.81,0,0,0,16.11,0,0,0.81,0,0
 48-58,0,0,0,0,15.49,0.57,1.15,4.02,0,0,0.57,0,0,3.44,0,0,18.94,0.57,0,0,0,0.57,0,0,0,2.87,0,0,1.15,0,0
 60-70,0,0,0.98,0,13.74,0,0.98,6.87,0,0,0.98,0.98,0,4.91,0.98,0.98,12.76,0.98,0,0,0,0,0,0,0,3.93,0,0,0,0,0
 72-82,0,0,0.98,0,10.8,0,0.98,5.89,0,0,0.98,0,0,8.83,0,0,12.76,0,0,0.98,0,0,0,0,0,2.94,0.98,0.98,0.98,0,0
 84-94,0,0,3.19,1.06,8.5,0,2.12,5.31,0,0,0,0,0,11.68,0,0,5.31,0,0,0,0,3.19,0,0,0,1.06,0,0,0,1.06,0
 96-106,0,0,0,0,1.09,0,1.09,2.19,0,0,1.09,0,0,3.28,0,0,5.46,0,0,0,0,1.09,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0.77,6.13,0,0,4.6,0,0,0,0,0,6.89,0,2.3,10.72,0,0.77,0,0,2.3,0,0,0,0.77,0,0,0,0,0
120,0,0,1.96,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
