stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,724.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,459.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,55.2,0,0,0,31.54,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,16,1,0,4,0,0,0,0,0,0,1,0,3,1,0,1,0,2,0,0,2,11,1,1,1,0,0,18,2,0,0,6,0,0,1,0,0
 24-34,0,0,0,2.46,19.7,0,0,11.49,0,2.46,0.82,0.82,0.82,0,0.82,1.64,8.21,0,1.64,0.82,5.75,8.21,2.46,0,4.93,82.09,0.82,9.03,4.1,0,0,57.46,0,2.46,2.46,27.09,0,0,18.06,0,0.82
 36-46,0,0,0,0,8.86,0,0,11.28,0,0.81,0.81,0.81,0.81,1.61,2.42,1.61,3.22,2.42,1.61,0,8.86,20.14,3.22,0,1.61,169.19,4.83,8.86,1.61,0,0,57.2,0,4.83,0,37.06,0,0,14.5,0,3.22
 48-58,0,0,0,0,8.61,0.57,0,29.26,0,1.72,5.74,4.59,1.15,11.48,1.15,4.59,4.02,9.75,2.87,0,9.18,26.4,4.02,0,1.72,231.24,0.57,2.87,0,0,0,39.59,0,1.15,0,48.2,0,0,6.89,0,5.74
 60-70,0,0,0,0,13.74,0.98,0,75.58,0,9.82,4.91,12.76,3.93,6.87,0,9.82,6.87,42.21,0.98,0,3.93,71.65,3.93,0,4.91,400.46,2.94,4.91,2.94,0,0,48.09,0,0.98,0,57.91,0,1.96,7.85,0,6.87
 72-82,0,0,3.93,0.98,25.52,2.94,0,130.56,1.96,5.89,7.85,30.43,7.85,5.89,3.93,11.78,10.8,37.3,4.91,0.98,4.91,117.8,7.85,1.96,11.78,363.21,0,9.82,6.87,0,1.96,72.64,0,3.93,0,48.1,1.96,0,24.54,0.98,7.85
 84-94,0,0,4.25,0,38.23,2.12,0,108.33,1.06,12.74,4.25,29.74,41.42,10.62,2.12,28.68,16.99,48.85,6.37,1.06,8.5,81.78,10.62,1.06,1.06,191.17,1.06,9.56,8.5,0,0,212.41,0,4.25,0,25.49,4.25,2.12,12.74,0,4.25
 96-106,0,0,3.28,0,51.36,5.46,1.09,107.1,1.09,15.3,2.19,30.6,43.71,1.09,1.09,22.95,21.86,52.46,8.74,0,9.84,72.13,13.11,4.37,9.84,213.11,1.09,14.21,17.49,0,2.19,229.5,1.09,6.56,0,13.11,5.46,2.19,21.86,7.65,6.56
108-118,0,0,3.83,0,75.06,1.53,5.36,88.85,0,23.74,2.3,31.4,56.68,0,1.53,22.21,21.45,68.17,9.19,2.3,8.43,78.13,12.26,0.77,6.13,228.26,3.06,9.19,11.49,0,3.06,199.92,0,6.13,0,10.72,8.43,1.53,17.62,1.53,9.19
120,0,0,1.96,0,86.23,0,0,80.35,1.96,23.52,3.92,31.36,27.44,0,1.96,31.36,17.64,43.12,1.96,1.96,5.88,56.83,9.8,1.96,3.92,207.74,0,9.8,9.8,0,0,137.18,0,3.92,0,9.8,1.96,0,19.6,5.88,3.92
