stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,2,2,2,1,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,1.64,0,1.64,13.95,0,0.82,0,0,1.64,0,0,3.28,4.93,0
 36-46,0,0,1.61,0,0,0,0,0,0,0,4.03,0,1.61,23.36,0,0,0,0,0,0,0,4.83,0,0
 48-58,0,0,6.31,0,1.15,0.57,0,0,0,0.57,2.3,0,1.15,22.38,0.57,0.57,0,0,0,0,0,5.74,1.72,0
 60-70,0,0,17.67,0.98,0,1.96,0,0,0,0,4.91,0,0,27.48,0.98,1.96,0,0,0,0,0,2.94,0.98,0
 72-82,0,0,14.72,0,0.98,2.94,0,0.98,0,0,5.89,0,2.94,23.56,1.96,0.98,0,0.98,0,0,0,0.98,0.98,0
 84-94,2.12,0,6.37,0,0,1.06,0,0,1.06,0,4.25,0,0,7.43,0,0,0,3.19,0,0,0,0,1.06,0
 96-106,0,0,6.56,0,0,2.19,0,0,0,0,2.19,1.09,0,3.28,0,1.09,0,0,0,0,0,0,2.19,1.09
108-118,0,0,4.6,0,0,1.53,0.77,0,0,0,3.83,0,0,11.49,0,0,0,0,0,0,0,0.77,0,0
120,0,0,7.84,0,0,0,0,0,0,0,3.92,0,0,15.68,1.96,1.96,0,0,0,0,0,0,3.92,1.96
