stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,1410.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,600.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,7.89,0,0,0,15.77,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,152.47,5.26,0,0,28.92,2.63,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,15.73,0,0,0,6.29,0,0,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,220.29,6.29,0,0,22.03,6.29,6.29,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,1,218,5,0,1,0,4,0,1,6,1,0,6,1,0,2,0,0,9,0,0,6,28,6,1,2,1,13,1,8,8,1,23,0,0,0,0,0
 24-34,0,0,1.64,1.64,100.14,1.64,0,5.75,0,12.31,0.82,1.64,2.46,0,0,14.78,5.75,0,13.13,0,0,4.93,4.93,0,8.21,33.66,1.64,10.67,4.1,0,36.12,0,0,0.82,1.64,9.03,0,0,0.82,0,0.82
 36-46,0,0,0.81,0.81,35.45,0,0,3.22,0,6.45,0.81,1.61,0.81,0,0,16.11,5.64,0,4.83,0.81,0,6.45,0.81,0.81,3.22,29,0.81,7.25,1.61,0,45.92,0.81,0,0,0,7.25,0,0,0.81,0,1.61
 48-58,0,0,0,0,22.38,0,0,6.31,0.57,7.46,0,1.72,0,2.3,0,18.94,0.57,0.57,4.02,0.57,0,9.18,0.57,0,1.15,17.79,2.3,2.87,2.87,0,25.25,0,0,0,0,5.74,0,0,2.87,0,2.3
 60-70,0,0,0.98,0,24.54,0.98,0,3.93,0,8.83,1.96,4.91,2.94,1.96,0,26.5,0,0,2.94,0.98,0,9.82,4.91,1.96,0,10.8,0.98,4.91,2.94,0,27.48,0,0,0.98,0,0,0,0,0.98,0.98,0.98
 72-82,0,0,3.93,0,36.32,5.89,0,3.93,0,13.74,0,2.94,4.91,0.98,1.96,53.01,2.94,0,10.8,1.96,0,19.63,4.91,2.94,1.96,18.65,0,9.82,1.96,0,25.52,0,0,0,0,5.89,2.94,0,6.87,0.98,0
 84-94,0,0,0,0,76.47,1.06,1.06,2.12,0,14.87,1.06,3.19,6.37,6.37,0,91.34,6.37,1.06,7.43,3.19,0,11.68,3.19,1.06,0,15.93,2.12,4.25,5.31,0,78.59,0,0,4.25,0,4.25,5.31,1.06,3.19,1.06,0
 96-106,0,0,3.28,0,72.13,2.19,1.09,5.46,0,15.3,1.09,3.28,22.95,0,0,106.01,7.65,0,7.65,5.46,0,10.93,5.46,0,3.28,13.11,0,13.11,6.56,0,56.83,1.09,0,0,0,0,1.09,1.09,4.37,1.09,0
108-118,0,0,1.53,0,66.64,0.77,5.36,4.6,0.77,31.4,2.3,4.6,15.32,0,0,92.68,9.19,1.53,2.3,5.36,1.53,22.21,3.83,0.77,5.36,13.02,3.83,16.85,5.36,0,39.06,0,0,0.77,0,1.53,9.96,0.77,10.72,0.77,2.3
120,0,0,1.96,0,76.43,0,0,1.96,0,17.64,1.96,1.96,3.92,0,1.96,80.35,1.96,0,1.96,1.96,0,9.8,5.88,0,5.88,17.64,5.88,1.96,3.92,0,31.36,0,0,0,0,0,1.96,0,0,0,0
