stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,5,0,0,0,0,0
 24-34,0.82,4.93,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,1.64,26.27,4.1,0,0,0,0,0,0,12.31,0,0,0,0,0
 36-46,0,4.03,0,0,3.22,0,0,0,0.81,0,0,0,0,0,0.81,0,0.81,0,0,0,66.87,2.42,0,0,0,0,0,0,11.28,0,0,0,0,0
 48-58,0.57,2.3,0,0,9.18,0,0,0,1.72,0,0,0,0,0,0,0,2.3,0,0,1.15,94.68,1.72,0.57,0,0,0,0,0,20.66,0,0,0,0,0
 60-70,0.98,2.94,0.98,0,25.52,0,0,0.98,0.98,0,0.98,0,0,0,0,0,3.93,0,0,0,175.69,1.96,2.94,0,0,2.94,0,0,18.65,0.98,0,0.98,0,0
 72-82,3.93,2.94,0.98,0,97.18,0.98,0,0,14.72,2.94,0,0,0,0,1.96,1.96,2.94,0,0,0,231.67,3.93,2.94,0,0,0,0,0,17.67,0,0,1.96,0,0.98
 84-94,3.19,7.43,0,1.06,54.16,0,1.06,1.06,7.43,4.25,0,0,1.06,0,1.06,0,2.12,0,0,0,109.39,1.06,6.37,0,0,2.12,0,0,7.43,1.06,0,0,0,1.06
 96-106,8.74,7.65,2.19,0,72.13,0,2.19,0,8.74,2.19,0,1.09,1.09,0,4.37,3.28,4.37,2.19,1.09,0,111.47,2.19,8.74,0,1.09,3.28,0,0,4.37,4.37,1.09,1.09,0,1.09
108-118,1.53,10.72,0,4.6,75.83,0,0.77,0.77,11.49,5.36,0,0,0,0.77,0,0,3.83,0,0,1.53,124.09,3.83,8.43,0,0,0,0,0,2.3,6.13,0,0,0,0
120,1.96,17.64,0,1.96,72.51,0,0,0,3.92,1.96,0,0,1.96,0,1.96,0,3.92,0,1.96,0,194.02,0,11.76,0,0,5.88,0,1.96,3.92,1.96,0,0,5.88,0
