stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,239.06,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,5.26,10.51,2.63,0,0,23.66,0,0,0,0,7.89,0,0,0,0,0,205.04,13.14,0,0,31.54,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,25.18,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,1,6,0,4,0,0,0,0,0,0,0,0,0,2,13,0,0,0,1,0,1,2,0,4,5,0,0
 24-34,0,0,0,0,0.82,9.85,0,0,0.82,0,0,0,0,0,0,0,23.8,1.64,0.82,0,0,0,2.46,0,1.64,0,3.28,0,0
 36-46,0,0,0,0,0,6.45,0,0,1.61,0,0,0,0,0,0,0,14.5,0,0,0,0,0,1.61,0,0.81,0,1.61,0,0
 48-58,0,0,0,0,0,2.3,0,0,2.87,0,0,0.57,0,0.57,0,0.57,7.46,0,0,0,0,0,0.57,0,0.57,0,1.72,0.57,0
 60-70,0,0,0,0,0,5.89,0,0,0.98,0,0,0,0.98,3.93,0,0,15.7,0,0.98,0,0,0,2.94,0,0,0,1.96,0,0
 72-82,0,0,0,0.98,0,0.98,0.98,0,3.93,0.98,0,0,0,4.91,0,0,3.93,0,0.98,0,0,0,0,0,0,0,1.96,0,0
 84-94,0,0,0,0,0,1.06,0,0,4.25,0,0,1.06,0,1.06,0,0,5.31,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,3.28,0,0,3.28,0,0,0,0,2.19,0,0,3.28,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,2.3,0,0.77,2.3,0,0,0,0.77,2.3,0.77,0,3.83,0,0.77,0,0,0.77,0,0,0,0,0.77,0,0.77
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0
