stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,40.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.23,9.44,0,0,805.62,0,0,0,103.85,0,12.59,3.15,0,0,0,0
 14-21,0,5,2,344,113,0,0,12,0,66,41,0,0,0,1,0,0,0,2,86,1,0,63,157,78,1,1,330,0,2,1188,6,25,584,1122,0,14,0,0
 24-34,0,0,0.82,77.98,8.21,12.31,1.64,37.76,14.78,76.34,13.95,0.82,0,0,0,0,0,1.64,10.67,118.2,0.82,0,157.6,100.14,26.27,0.82,0,0,0,1.64,2.46,0,18.06,213.42,576.24,0,66.49,0,6.57
 36-46,0,0,0,5.64,2.42,5.64,2.42,19.34,45.12,41.89,4.03,0,0,0.81,0,3.22,0.81,0,11.28,181.28,1.61,4.83,160.33,70.9,20.95,1.61,0,0,0,0,1.61,0,7.25,2.42,667.09,0,42.7,0,9.67
 48-58,0,0,0,5.74,0,20.08,1.72,16.07,52.79,36.72,0.57,0,0,0,0,1.15,0,0.57,5.16,208.86,0,4.02,106.15,97.55,9.75,0,0.57,0,0,1.15,1.15,0,2.87,0,706.35,0,20.08,0.57,8.03
 60-70,0,0,0,1.96,0,13.74,1.96,12.76,62.82,49.08,0.98,0,0.98,0,0,0.98,0,1.96,2.94,176.67,0,8.83,60.85,63.8,3.93,0,1.96,0,0.98,0,0,0,4.91,0,559.47,1.96,10.8,2.94,4.91
 72-82,0,0,0,1.96,0.98,28.47,0.98,8.83,102.09,84.42,1.96,0,0,0.98,0,2.94,0,0,5.89,268.98,0.98,18.65,69.7,62.83,8.83,0,0,0,0,0.98,0,0.98,0,0,310.21,1.96,16.69,16.69,1.96
 84-94,0,0,0,7.43,0,33.99,0,21.24,73.28,58.41,7.43,0,0,1.06,1.06,2.12,0,0,5.31,178.42,1.06,22.3,70.09,57.35,1.06,0,2.12,0,0,0,0,0,0,0,217.72,4.25,19.12,12.74,3.19
 96-106,0,0,0,8.74,2.19,20.76,1.09,8.74,56.83,32.79,5.46,0,0,0,0,3.28,1.09,2.19,3.28,155.18,1.09,9.84,54.64,36.06,5.46,2.19,0,0,1.09,3.28,0,0,3.28,0,77.59,2.19,27.32,21.86,3.28
108-118,0,0,0,8.43,0.77,9.19,0,17.62,39.06,34.47,3.06,0,0,0.77,0.77,3.83,0,0,2.3,117.96,0.77,8.43,45.19,44.43,7.66,0,0.77,0,1.53,0,0,0,2.3,0,42.89,0.77,18.38,10.72,1.53
120,1.96,0,0,23.52,1.96,1.96,1.96,3.92,37.24,11.76,3.92,0,0,1.96,0,11.76,0,3.92,1.96,145.02,0,7.84,45.08,15.68,7.84,0,1.96,0,0,0,0,0,1.96,0,27.44,0,7.84,11.76,3.92
