stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,15.77,0,0,0,0,0,0,0,52.57,5.26,0,26.29,0,0,0,0,0
 10-12,0,3.15,12.59,0,0,3.15,0,0,3.15,0,0,0,0,119.58,0,0,31.47,0,0,3.15,0,0
 14-21,0,0,0,1,1,5,0,1,0,0,0,0,4,20,1,0,0,0,4,0,5,12
 24-34,0,0,0.82,0.82,0,0,0,0,0,0.82,0,0,0,4.1,0,0,0,0,0,0,0,1.64
 36-46,0,0,0,0.81,0,0,0,1.61,0,0,0,0.81,0,2.42,0,0,0,0.81,0,0,0,2.42
 48-58,0,0,0,0,0,0.57,0,4.59,0,0,0,1.15,0,3.44,0,0,0,0,0,0,0,1.72
 60-70,0,0,0,0,0,0.98,0,5.89,0,0,0.98,0,0,5.89,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,7.85,0,0,0,0,0.98,5.89,0,0.98,0,0,0,0,0,1.96
 84-94,0,0,0,0,0,0,1.06,1.06,0,0,0,1.06,0,4.25,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,1.09,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.53,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,3.92,0,3.92,0,0,0,0,0,0,0,0
