stage,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,1,2,0,0,1,0,0,0,0,0,0,3,0,0,2,10,0,0,0,1,1,3,0,0,0
 24-34,0,0.82,0,1.64,0,0,0.82,0,0,0.82,0,0.82,0,0,2.46,13.13,0,0,0,0,0,4.1,0.82,0,0.82
 36-46,0,0,0,1.61,1.61,0,0,0,0,0,0,3.22,0,0,0.81,15.31,0.81,0,0,1.61,0,4.83,0,0,0
 48-58,0,0,0,2.87,1.15,0,0,0,0,0,0,1.72,0,0,0.57,2.3,0,0,0.57,0,0,0,0,0,0
 60-70,0,0.98,0,0,0,0,0,0,0,0,0,2.94,0,0,1.96,4.91,0,0,0,0,0,0,0,0,0
 72-82,0,1.96,0,1.96,0.98,0.98,0.98,0,0,0,0,4.91,0,0.98,0,3.93,0,0,0,0.98,0,0,1.96,0,0
 84-94,0,3.19,0,2.12,1.06,2.12,0,0,1.06,0,1.06,4.25,1.06,0,0,3.19,0,0,0,0,0,0,1.06,0,0
 96-106,0,1.09,1.09,2.19,0,0,0,1.09,0,0,0,4.37,0,0,2.19,2.19,0,0,0,1.09,0,1.09,0,1.09,0
108-118,0,0.77,0,1.53,1.53,0,0,0.77,0,0,0,0.77,0,0,0,0.77,0.77,0.77,0,0.77,0,0,0,0,0
120,0,1.96,1.96,0,3.92,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
