stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,2.63,2.63,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,22.03,3.15,0,0,0,0,0,0,3.15,0,0
 14-21,0,1,0,0,0,2,0,0,0,0,0,6,0,0,0,0,1,0,1,1,0,0
 24-34,0,0,0,0,0,1.64,0,0.82,0,0,2.46,6.57,0,2.46,0,0,0,0,0.82,3.28,0,0
 36-46,0,0,0,0.81,0,0,0,0,0.81,0,1.61,4.03,0.81,0,0,1.61,0,0,0,1.61,0,0
 48-58,0,0,0,1.72,0,0,0,0.57,0,0,0,3.44,0,0,0,0.57,0,0,0,0.57,0,0.57
 60-70,0,0,0.98,0.98,0,0,0,0,0,0,0,3.93,0,1.96,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,3.93,0,1.96,0,4.91,0,0,0,12.76,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,1.06,0,3.19,0,2.12,0,3.19,0,1.06,0,8.5,0,0,0,0,0,0,0,0,0,0
 96-106,0,1.09,0,1.09,0,3.28,1.09,4.37,0,0,0,3.28,0,0,0,2.19,0,1.09,0,0,0,0
108-118,0,0,0,7.66,1.53,0,0,2.3,0,0.77,0,6.13,0,0,0,2.3,0,0,0,0.77,0,0
120,0,0,0,1.96,0,0,0,3.92,0,0,0,7.84,0,0,0,1.96,0,0,0,0,0,0
