stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,liver,mesenchyme,neural,otic,periderm,pgc,slow.muscle,somites,spinal.cord,xanthophores
 14-21,0,1,1,0,0,0,1,0,0,0,1,0,0,1,7,1,0
 24-34,0,0,1.64,0,0,0,0,0,0,6.57,0.82,0,0,0,2.46,2.46,0
 36-46,0,0,0,0,0,0,0,0,0,12.89,0,0,0,0,0,2.42,0
 48-58,0,0,0,0,6.89,0.57,0,0,0.57,12.05,0.57,0,0,0,0,0.57,0
 60-70,0,0,0,0,24.54,0,0,0,3.93,18.65,0,0,0,0,0,0,0
 72-82,1.96,0,0.98,0.98,36.32,0.98,0,0,1.96,20.61,1.96,0,0,0,0,0,0.98
 84-94,0,0,1.06,1.06,28.68,3.19,0,0,1.06,11.68,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,18.58,2.19,0,1.09,2.19,10.93,0,0,1.09,0,0,0,0
108-118,0,0,0.77,0,15.32,0,0,0,0.77,10.72,0,0.77,0,0,0,0.77,0
120,0,0,1.96,0,11.76,0,0,0,1.96,7.84,0,0,0,0,0,0,0
