stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,12.26,245.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,78.86,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,19,2,0,1,0,0,0,0,0,0,16,0,0,0,0,0
 24-34,0,0,0,0,13.13,0,0,12.31,0,0.82,0,1.64,0,0,0,0,0,0,3.28,0,0,1.64,0,0,0,68.13,0,0.82,6.57,0,0,4.93,0,0,0,59.92,0,0,0.82,0,0
 36-46,0,0,0,0,4.03,0,0,113.6,0,0,0,0.81,0,0.81,0,0,0.81,0,3.22,0,0.81,2.42,0,0,1.61,219.14,0,1.61,6.45,0,0,6.45,0,0,0,128.1,0,0,0,0,0
 48-58,0,0,0,0,12.62,0.57,0,1018.5,2.3,4.02,1.15,14.35,0,0.57,1.15,0,0,3.44,3.44,0,0.57,17.21,0,1.72,3.44,327.64,0.57,1.15,7.46,0,0.57,12.05,0,0.57,0.57,172.14,0,0,2.3,0,0.57
 60-70,0,0,0,0,7.85,1.96,0,2827.76,1.96,4.91,0.98,33.37,0.98,0.98,0,3.93,0.98,1.96,0.98,0,0,57.91,1.96,0.98,1.96,527.08,0,1.96,14.72,0,0,10.8,0,2.94,0,246.36,0,1.96,4.91,0.98,0.98
 72-82,0,0,2.94,0,54.97,2.94,0,3314.09,0,4.91,6.87,107.98,1.96,0,0.98,4.91,3.93,2.94,5.89,1.96,0,121.73,0,3.93,6.87,736.25,1.96,4.91,24.54,0.98,3.93,11.78,0,1.96,0,154.12,4.91,4.91,14.72,3.93,6.87
 84-94,0,0,0,0,84.96,9.56,0,1871.31,2.12,8.5,4.25,114.7,5.31,0,0,5.31,2.12,6.37,9.56,1.06,1.06,92.4,1.06,5.31,11.68,470.48,1.06,3.19,20.18,0,0,19.12,0,1.06,0,90.27,6.37,8.5,16.99,8.5,1.06
 96-106,0,0,2.19,0,79.78,13.11,2.19,1721.23,2.19,8.74,4.37,102.73,4.37,0,4.37,8.74,3.28,2.19,10.93,7.65,1.09,84.15,3.28,2.19,2.19,473.2,4.37,5.46,34.97,0,1.09,20.76,0,2.19,1.09,46.99,15.3,3.28,6.56,7.65,4.37
108-118,0,0,0,0,43.66,9.19,2.3,1348.09,0.77,3.06,3.83,75.83,0.77,0.77,0,4.6,3.83,1.53,10.72,3.83,0.77,78.13,2.3,7.66,6.89,468,2.3,1.53,30.64,0,0,23.74,0,0.77,0.77,34.47,16.85,0.77,7.66,5.36,3.83
120,0,0,0,0,54.87,1.96,0,1209.19,3.92,7.84,11.76,109.75,3.92,0,3.92,1.96,5.88,5.88,5.88,0,0,50.95,0,1.96,17.64,582.06,5.88,7.84,25.48,0,0,21.56,1.96,0,0,54.87,19.6,0,13.72,0,1.96
