stage,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,0,0,0,0,0,31.54,0,0,0,21.03,0,0,0,0
 10-12,3.15,3.15,0,3.15,0,0,0,0,0,0,0,0,40.91,3.15,0,0,9.44,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,3,6,1,0,0,0,4,5,4,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.64,2.46,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.61,0,0.81,3.22,0,0,0.81,0,0,0,0,0
 48-58,0,0,0.57,1.15,0,0,0,0,0.57,2.3,0,0,5.16,0,0.57,1.72,0,0,0,0.57,0
 60-70,0,0,0,0.98,0,0,0,0,0.98,1.96,0.98,0.98,9.82,0,0,1.96,0,0,0,8.83,0
 72-82,0,0,0,2.94,0,0,0.98,0.98,4.91,1.96,0,0,6.87,0,0,5.89,0,0,0,1.96,0
 84-94,0,0,0,3.19,0,0,1.06,0,5.31,4.25,0,0,7.43,0,0,8.5,0,0,0,1.06,0
 96-106,0,0,0,3.28,1.09,1.09,0,3.28,13.11,2.19,0,0,10.93,0,1.09,9.84,0,0,0,1.09,2.19
108-118,0,0,0,1.53,0,0,0.77,0.77,9.19,3.06,0,0,3.06,0,1.53,15.32,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,5.88,0,0,0,7.84,0,1.96,11.76,0,0,0,3.92,0
