stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
 24-34,0,0,0,1.64,2.46,0,0,0.82,0,0,0,0,0.82,0,0,0,0,0,2.46,1.64,0,0,0,7.39,0,0.82,0,0,0,0,0,29.55,0,1.64,0,0,0,0,0.82
 36-46,0,0,0,1.61,15.31,0,0,0,0,0.81,0,0,4.03,0,0,0,0,0,2.42,4.03,0,0,0.81,8.06,0,1.61,0,0,0,0,0,19.34,0,8.06,0,0,0.81,0,0
 48-58,0,0,0,2.87,39.59,0,0,4.02,0,1.72,0,3.44,5.74,2.3,0.57,0,0,0.57,5.16,43.04,1.15,0,0.57,24.1,0,1.72,0.57,0,0,0,0,13.77,0,6.89,0,0,2.87,0,0
 60-70,0,0,0,0,100.12,0.98,0,8.83,0,0.98,0,0.98,14.72,4.91,0,0,0,0,7.85,137.41,0.98,0,12.76,37.3,0,0.98,0.98,0,0,0.98,0,29.45,0,6.87,0.98,1.96,1.96,0,0
 72-82,0,0,0,2.94,198.3,1.96,0,49.08,0.98,6.87,0.98,13.74,25.52,15.71,0.98,0.98,1.96,0.98,0.98,338.67,2.94,2.94,18.65,74.61,0,3.93,3.93,0,0,1.96,0,30.43,0,0.98,0,3.93,29.45,1.96,0.98
 84-94,0,0,0,6.37,391.89,3.19,0,37.17,0,28.68,1.06,5.31,35.05,13.81,2.12,5.31,2.12,1.06,2.12,238.96,3.19,0,8.5,41.42,0,4.25,1.06,0,0,2.12,0,73.28,1.06,3.19,2.12,3.19,19.12,3.19,0
 96-106,0,0,1.09,9.84,566.09,3.28,2.19,56.83,2.19,60.11,1.09,16.39,14.21,34.97,3.28,9.84,1.09,2.19,0,248.08,7.65,5.46,26.23,88.52,1.09,7.65,0,0,1.09,15.3,1.09,63.39,0,1.09,0,1.09,37.16,1.09,1.09
108-118,0,0,0,7.66,667.15,4.6,0.77,24.51,0,100.34,0.77,12.26,11.49,17.62,2.3,10.72,1.53,0.77,0,266.56,6.13,3.83,29.11,52.85,0,6.89,2.3,0,3.83,6.89,0,71.23,0.77,0.77,2.3,3.06,36.77,0,1.53
120,0,0,0,1.96,456.63,0,0,17.64,0,76.43,0,3.92,5.88,21.56,0,1.96,0,1.96,0,209.7,7.84,1.96,29.4,47.03,0,1.96,0,0,0,5.88,0,35.28,0,0,1.96,5.88,31.36,0,0
