stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.92,2.63,0,0,39.43,0,0,0,0,0,0,0,0,0,0
 10-12,9.44,18.88,0,0,0,18.88,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,125.88,9.44,0,0,47.2,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,12,4,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,2,53,0,1,1,1,0,1,9,0,4,8,18,0,0,0
 24-34,0,0,2.46,0,0,10.67,0,0,0,1.64,0,0,0,0,0,0,0.82,0,0,12.31,0.82,1.64,91.94,1.64,0,0,0,0,2.46,0,0,1.64,0.82,19.7,1.64,0,0
 36-46,0,0,0,0,0,20.95,0,0,0,4.03,0,0,0,0,0,0,0,0,0.81,5.64,0,4.03,94.26,0,0,0,0,0,4.83,0,0,0,0,19.34,0.81,0,0.81
 48-58,0,0,2.87,0.57,0,28.12,1.15,0,0.57,5.16,0,0,0.57,0,0.57,0.57,0,0,0,5.16,0,1.72,61.4,0.57,0,2.3,0,0,0,0,0,0,0,9.75,0.57,0,0.57
 60-70,0,0,0,0,0,26.5,0,0,0,5.89,1.96,0,0,0.98,0.98,1.96,0,0.98,0.98,11.78,0,2.94,83.43,0,0,0.98,0,0,0.98,0,0.98,0,0,4.91,1.96,0,0
 72-82,0,0,3.93,0,0,24.54,0,0,0.98,6.87,0,0,0.98,0,0,0,0,0,0,10.8,0.98,2.94,55.95,0,0.98,0,0,0,0.98,0,0,0,0,5.89,0.98,0,0
 84-94,0,0,3.19,0,0,13.81,1.06,0,0,7.43,0,0,0,1.06,0,0,0,0,0,9.56,0,6.37,20.18,0,0,1.06,0,0,2.12,0,0,0,0,3.19,2.12,1.06,0
 96-106,0,0,3.28,1.09,0,6.56,0,0,0,4.37,0,0,0,1.09,0,0,0,1.09,0,4.37,0,4.37,25.14,0,1.09,2.19,0,1.09,4.37,0,0,0,0,3.28,1.09,0,1.09
108-118,0,0,3.06,0.77,0.77,8.43,0,0,0,5.36,1.53,0,0,1.53,0,0.77,0,0.77,0,8.43,0,1.53,13.02,0,1.53,0,0,0,3.06,0,0,0,0,0,0,0,0
120,0,0,5.88,1.96,0,7.84,0,1.96,1.96,5.88,1.96,0,0,1.96,0,0,0,0,0,3.92,0,1.96,31.36,0,3.92,0,0,0,9.8,0,0,0,0,1.96,0,0,0
