stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,hatching.gland,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,12.26,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,6,7,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,1.64,13.95,0,4.1,0,0,3.28,0.82,1.64,4.93,4.1,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0,1.61,0,0,3.22,25.78,0,0.81,0,0,6.45,2.42,1.61,0,9.67,0,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,0,3.44,1.15,1.15,0,0.57,0,0,0,0.57,2.87,0.57,0,0.57,36.15,0,5.16,0.57,0,3.44,1.15,4.02,0,9.75,0,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,0,7.85,1.96,2.94,0,0,0,0,0,0,3.93,0,0,0,87.36,0,8.83,0.98,0,0.98,0.98,2.94,0,8.83,0,0,0.98,0,0
 72-82,0,0,2.94,0,0,0,0,25.52,1.96,4.91,0.98,0,1.96,0.98,0.98,0,6.87,0,0,0.98,114.85,0,15.71,2.94,0,4.91,1.96,0.98,0,10.8,0,0,0,0,0
 84-94,0,0,5.31,0,3.19,0,1.06,26.55,0,0,7.43,0,6.37,0,0,0,2.12,0,2.12,0,61.6,0,5.31,3.19,0,5.31,4.25,3.19,0,3.19,2.12,1.06,0,1.06,1.06
 96-106,0,0,2.19,0,0,0,0,39.34,0,3.28,8.74,0,2.19,2.19,0,0,6.56,0,1.09,0,68.85,0,17.49,5.46,0,2.19,3.28,5.46,0,6.56,0,1.09,0,0,0
108-118,0,0,0,0,2.3,0.77,0.77,35.23,0.77,3.83,9.96,0,3.83,1.53,0,0,4.6,0,0,0.77,79.66,0,8.43,6.89,0,4.6,2.3,8.43,0,0.77,0,0,1.53,0.77,0
120,0,0,3.92,0,0,0,0,23.52,0,7.84,7.84,0,3.92,1.96,0,0,5.88,0,0,0,41.16,0,11.76,1.96,0,1.96,1.96,3.92,0,7.84,0,0,1.96,0,0
