stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,2.63,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,34.62,0,0,12.59,0,3.15,0,0,0,0
 14-21,0,0,4,1,0,0,0,1,0,0,3,0,3,11,0,0,0,0,0,2,3,1,0
 24-34,0,0.82,1.64,0,4.1,0,0,0.82,0,0,2.46,0.82,4.93,9.85,0.82,0,0,0,0,0,2.46,2.46,0
 36-46,0,0.81,0.81,0,0,0.81,0,0.81,0,0,3.22,0,0.81,7.25,0,0,0,1.61,0,0,1.61,0,0
 48-58,0,0,0.57,0,1.72,0,0,0.57,0,0,4.02,0.57,0,4.02,0,0,0,0,0,0,1.72,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,3.93,0,1.96,1.96,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,0,0.98,0,2.94,0,0.98,4.91,0,0,4.91,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,3.19,0,1.06,2.12,0,0,5.31,0,1.06,4.25,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,3.28,0,0,1.09,0,0,4.37,0,0,3.28,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,2.3,0,0,4.6,0,0,3.06,0,0,0,0,0,0,0.77,0.77,0
120,0,0,1.96,0,1.96,0,0,3.92,0,0,5.88,0,1.96,5.88,0,0,0,0,0,0,0,0,1.96
